Item,Location Name,County,Address,City,Phone,Details,Website
Aluminum,H Cartiff & Bros Scrap Metal,Allegheny, 3232 Penn Ave, Pittsburgh,412-261-0336,Aluminum Cans ,
Aluminum,AAA Scrap Iron and Metal,Allegheny, 3315 Penn Ave, Pittsburgh,412-621-3405,Aluminum Cans ,http://www.aaascrapmetal.com/
Aluminum,ALCOA,Allegheny,Ê100 Technical Center Alcoa Center,Pittsburgh,724-337-5300,Aluminum Cans ,http://www.alcoa.com/recycling/en/info_page/home.asp
Aluminum,"Boyd Roll Off Services, Inc.",Allegheny, 1200 Railroad Pl, Mckees Rocks,412-331-6830,Aluminum Cans ,http://boydrolloff.com/
Aluminum,Castriota Metals and Recycling,Allegheny, 1200 Saw Mill Road Blvd, Pittsburgh,412-431-1832,Aluminum Cans ,http://www.castriotametals.com/
Aluminum,Casturo Iron & Metal Co.,Allegheny, 750 W 5th Ave, Mckeesport,412-672-1407,Aluminum Cans ,
Aluminum,D & D Auto Salvage,Allegheny,Ê6375 Allegheny Valley Railroad ,Pittsburgh,412-781-9840,Aluminum Cans ,http://www.danddsalvagepittsburgh.com/
Aluminum,"Fitzsimmons Metal Co., Inc.",Allegheny, 1654 Butler Plank Rd, Glenshaw,412-486-8587,Aluminum Cans ,http://www.fitzsimmonsmetal.com/
Aluminum,Gipson and Company,Allegheny,Ê5194 State RTE 51, Belle Vernon,724-379-4722,Aluminum Cans ,
Aluminum,HKP Recycling,Allegheny, 301 Wide Dr, Mckeesport,412-751-4602,Aluminum Cans ,
Aluminum,Josh Steel Co.,Allegheny, 46 Sixth St, Braddock,412-351-3500,Aluminum Cans ,http://www.joshsteel.biz/
Aluminum,"Keystone Iron & Metal Co., Inc.",Allegheny, 4903 E Carson St, Pittsburgh,412-462-1520,"Contact: Mike Kaufman, Aluminum Cans ",
Aluminum,Neville Metals,Allegheny, 3100 Grand Ave, Pittsburgh,412-771-7000,Aluminum Cans ,http://www.metalico.com/
Aluminum,PJ Greco Son's Inc.,Allegheny, 1450 Freeport Rd, Tarentum,724-224-2424,Aluminum Cans ,http://pjgreco.com/
Aluminum,"Recycle Source, LLC",Allegheny, 50 Vespucius St, Pittsburgh,412-420-6000,"Contact: Russell Holby, Aluminum Cans ",
Aluminum,"TC Recycling, LLC",Allegheny, 121 Brickyard Rd, Mars,724-625-9000,Aluminum Cans ,www.tcrecycling.com 
Aluminum,"Three Rivers Scrap Metals, Inc.",Allegheny, 825 Behan St, Pittsburgh,412-322-1155,Aluminum Cans ,www.threeriversscrapmetal.com 
Aluminum,TNT Metals,Allegheny, 6 30th St, Pittsburgh,412-391-7655,Aluminum Cans ,http://tntmetals.org/ 
Aluminum,Tomson Scrap Metal,Allegheny, 1100 Sixth Ave, Brackenridge,724-224-0387,Aluminum Cans ,www.tomsonscrapmetal.com 
Aluminum,Verona Iron & Metal,Allegheny, 718 Plum St, Verona,412-828-3440,Aluminum Cans ,
Aluminum,"Waste Management GREENSTAR Pittsburgh, LLC",Allegheny, 4100 Grand Ave, Pittsburgh,412-250-0275,"Contact: Bob Johns, Aluminum Cans ",www.wm.com 
Aluminum,Wimco Metals Inc.,Allegheny, 401 Penn Ave, Pittsburgh,412-243-8000,Aluminum Cans ,
Appliances (with Freon),Appliance Warehouse,Allegheny, 523 Bingham St, Pittsburgh,412-381-8800,White Goods,http://www.appliancewarehouse.com/
Appliances (No Freon),Appliance Warehouse,Allegheny, 523 Bingham St, Pittsburgh,412-381-8800,White Goods,http://www.appliancewarehouse.com/
Appliances (No Freon),Castriota Metals and Recycling,Allegheny, 1200 Saw Mill Road Blvd, Pittsburgh,412-431-1832,White Goods,http://www.castriotametals.com/
Appliances (No Freon),Josh Steel Co.,Allegheny, 46 Sixth St, Braddock,412-351-3500,Appliances,http://www.joshsteel.biz/
Appliances (No Freon),"Keystone Iron & Metal Co., Inc.",Allegheny, 4903 E Carson St, Pittsburgh,412-462-1520,"Contact: Mike Kaufman, Appliances",
Appliances (No Freon),U.S. Steel Corporation Edgar Thomson Plant,Allegheny, 13th St  Braddock Ave, Braddock,412-273-7000,White Goods,www.ussteel.com 
Aseptic Packaging (Drink Boxes/Milk Cartons),"Waste Management GREENSTAR Pittsburgh, LLC",Allegheny, 4100 Grand Ave, Pittsburgh,412-250-0275,"Contact: Bob Johns, All Aseptic/Gable Top Cartons",www.wm.com 
Batteries (Button Cell),Batteries Plus,Allegheny,Ê3467 William Penn Hwy,Pittsburgh,412-366-3600,"Lithium, Nickel Cadmium, Nickel metal Hydride",https://www.batteriesplus.com/t/recycling
Batteries (Button Cell),Batteries Plus,Allegheny, 3912 Castle Shannon Rd, Castle Shannon,412-366-3600,"Lithium, Nickel Cadmium, Nickel metal Hydride",https://www.batteriesplus.com/t/recycling
Batteries (Button Cell),Batteries Plus,Allegheny, 4808 Mcknight Rd, North Hills,412-366-3600,"Lithium, Nickel Cadmium, Nickel metal Hydride",https://www.batteriesplus.com/t/recycling
Batteries (Button Cell),Batteries Plus,Allegheny, 402 Home Dr, Pittsburgh,412-366-3600,"Lithium, Nickel Cadmium, Nickel metal Hydride",https://www.batteriesplus.com/t/recycling
Batteries (Lead Acid),Batteries Plus,Allegheny,Ê3467 William Penn Hwy,Pittsburgh,412-366-3600,Auto Batteries,https://www.batteriesplus.com/t/recycling
Batteries (Lead Acid),Batteries Plus,Allegheny, 3912 Castle Shannon Rd, Castle Shannon,412-366-3600,"Lithium, Nickel Cadmium, Nickel metal Hydride",https://www.batteriesplus.com/t/recycling
Batteries (Lead Acid),Batteries Plus,Allegheny, 4808 Mcknight Rd, North Hills,412-366-3600,"Lithium, Nickel Cadmium, Nickel metal Hydride",https://www.batteriesplus.com/t/recycling
Batteries (Lead Acid),Batteries Plus,Allegheny, 402 Home Dr, Pittsburgh,412-366-3600,"Lithium, Nickel Cadmium, Nickel metal Hydride",https://www.batteriesplus.com/t/recycling
Batteries (Lead Acid),"Boyd Roll Off Services, Inc.",Allegheny, 1200 Railroad Pl, Mckees Rocks,412-331-6830,Auto Batteries,http://boydrolloff.com/
Batteries (Lead Acid),Interstate Batteries,Allegheny, 103 Sandy Creek Rd, Verona,1-888-872-4001,Auto Batteries,http://www.interstatebatteries.com/
Batteries (Lead Acid),PJ Greco Son's Inc.,Allegheny, 1450 Freeport Rd, Tarentum,724-224-2424,Auto Batteries,http://pjgreco.com/
Batteries (Lead Acid),Verona Iron & Metal,Allegheny, 718 Plum St, Verona,412-828-3440,Auto Batteries,
Cell Phones,Evolution  E Cycling,Allegheny, 2235 Mary St, Pittsburgh,412-390-3450,Cell Phones,http://www.evolutionecycling.com/
Clothing/Textiles,"Armstrong Kover Kwick, Inc.",Allegheny, 401 Sproul St, Mckees Rocks,412-771-2200,"Contact: Bill , Textiles, Rags",http://akkinc.com/
Clothing/Textiles,Goodwill of Southwestern PA,Allegheny, 2600 E Carson St, Pittsburgh,412-431-1539,Various,http://www.goodwillswpa.org/
