Item,Location Name,County,Address,City,Phone,Details,Website,Website,,,
Air Conditioners,Iron City Steel & Recycling,Beaver,1308 Main St,Crescent Township,(724) 457-4766,,,,,,
Aluminum,All Metals Recycling,Beaver, 471 Railroad St, Rochester,724-774-2073,Aluminum Cans,www.allmetrec.com ,,,,
Aluminum,"Allegheny Raw Materials, Inc.",Beaver, 136 Sara Dr, Ellwood City,724-752-1161,Aluminum Cans,www.alleghenyrawmaterials.com ,,,,
Aluminum,Joseph Brunner Recycling,Beaver, 2973 Duss Ave, Ambridge,724-226-2268,Aluminum Cans,www.brunnerdisposal.com ,,,,
Aluminum,Metalico Pittsburgh/Skip's Recycling,Beaver, 2003 Crows Run Rd, Conway,724-770-9110,Aluminum Cans,www.metalico.com ,,,,
Aluminum,PSC Metals Inc.,Beaver, Westgate Dr, Beaver Falls,724-846-9400,Aluminum Cans,WWW.PSCMETALS.COM ,,,,
Aluminum,Brady's Run Park,Beaver, 121 Brady's Run Rd, Beaver Falls,724-770-2060,"Newspapers, Office Paper, Magazines, Phone Books, Shredder Paper, Office Paper, Hard/Soft Bound Books. Hours: Tues & Thurs. 9AM-4PM, Every 1st & 3rd Sat: 9AM-1PM",http://www.beavercountypa.gov/Depts/WasteMgmt/Pages/RecyclingInstr.aspx,,,,
Antifreeze,Brady's Run Park,Beaver, 121 Brady's Run Rd, Beaver Falls,,HHW at Brady's Run Park on October 14th 9am to 1pm,http://prc.org/programs/collection-events/household-chemicals/,,,,
Antifreeze,Brady's Run Park,Beaver, 121 Brady's Run Rd, Beaver Falls,724-770-2060,"Antifreeze. Hours: Tues & Thurs. 9AM-4PM, Every 1st & 3rd Sat: 9AM-1PM",http://www.beavercountypa.gov/Depts/WasteMgmt/Pages/RecyclingInstr.aspx,,,,
Appliances (with Freon),Iron City Steel & Recycling,Beaver,1308 Main St,Crescent Township,(724) 457-4766,,,,,,
Appliances (No Freon),All Metals Recycling,Beaver, 471 Railroad St, Rochester,724-774-2073,White Goods,www.allmetrec.com ,,,,
Appliances (No Freon),Metalico Pittsburgh/Skip's Recycling,Beaver, 2003 Crows Run Rd, Conway,724-770-9110,White Goods,www.metalico.com ,,,,
