Item,Location Name,County,Address,City,Website,Phone,Details
Aluminum,611 Metals Recycling,Bucks, 6776 Easton Rd, Pipersville,www.611metals.com ,267-221-6924,All Aluminum
Aluminum,Delaware Valley Scrap Company,Bucks, 7010 Beaver Dam Rd, Levittown,www.delawarevalleyscrap.com ,215-949-1191,Aluminum Cans
Aluminum,DelGuerico's Wrecking & Salvage Inc.,Bucks, 2895 Grouse Ln STE 100, Riegelsville,www.delguericosinc.com ,610-346-9500,Aluminum Cans
Aluminum,Franklin Metals,Bucks, 2683 Bristol Pike ,Bensalem,,215-245-5763,Aluminum Cans
Aluminum,Paper & Pulp Exchange Inc.,Bucks, 1059 Millcreek Dr, Feasterville,,215-396-9315,Aluminum Cans
Aluminum,Wheelabrator Falls Inc,Bucks, 1201 New Ford Mill Rd, Morrisville,www.wheelabratortechnologies.com ,215-736-1760,Aluminum Cans
Appliances (with Freon),Delaware Valley Scrap Company,Bucks, 7010 Beaver Dam Rd, Levittown,www.delawarevalleyscrap.com ,215-949-1191,White Goods
Appliances (No Freon),Delaware Valley Scrap Company,Bucks, 7010 Beaver Dam Rd, Levittown,www.delawarevalleyscrap.com ,215-949-1191,White Goods
Batteries (Lead Acid),611 Metals Recycling,Bucks, 6776 Easton Rd, Pipersville,www.611metals.com ,267-221-6924,Car and Truck Batteries
Batteries (Lead Acid),Batteries Plus Fairless Hills,Bucks, 110 Lincoln Hwy, Fairless Hills,www.batteriesplus.com ,267-583-3090,Auto Batteries
Batteries (Lead Acid),Delaware Valley Scrap Company,Bucks, 7010 Beaver Dam Rd, Levittown,www.delawarevalleyscrap.com ,215-949-1191,Auto Batteries
Batteries (Lead Acid),DelGuerico's Wrecking & Salvage Inc.,Bucks, 2895 Grouse Ln STE 100, Riegelsville,www.delguericosinc.com ,610-346-9500,Auto Batteries
Batteries (Lead Acid),Franklin Metals,Bucks, 2683 Bristol Pike ,Bensalem,,215-245-5763,Auto Batteries
Batteries (Rechargable) ,Batteries Plus Fairless Hills,Bucks, 110 Lincoln Hwy, Fairless Hills,www.batteriesplus.com ,267-583-3090,"Nickel Cadmium, Nickel Metal Hydride, Lithium Ion, Lithium Polymer"
Bulbs,611 Metals Recycling,Bucks, 6776 Easton Rd, Pipersville,www.611metals.com ,267-221-6924,Ballasts
Car/Vehicle Donations,611 Metals Recycling,Bucks, 6776 Easton Rd, Pipersville,www.611metals.com ,267-221-6924,Junk Vehicles
Clothing/Textiles,Martex Fiber Southern Corp,Bucks, 301 South State St, STE 202S Newton,WWW.MARTEXFIBER.COM ,215-928-1767,Accepts Textiles from Industrial Customers
Computers,E waste Experts,Bucks, 416 Green Ln, Bristol,http://www.ewasteexperts.com/,1-877-328-2927,Computers and Peripherals
Computers,611 Metals,Bucks, 6776 Easton Rd, Pipersville,http://www.611metals.com/,267-221-6924,Computers and Peripherals
Computers,Gigabiter,Bucks, 130 Penn Am Dr Unit C, Quakertown,http://www.gigabiter.com/newindex.php,1-866-944-2248,Computers and Peripherals
Construction/Demolition Materials,"A.H. Cornell & Son, Inc.",Bucks, 2362 York Rd, Jamison,www.ahcornell.com ,215-343-1830,"Any Size Concrete, Cinder Block"
Construction/Demolition Materials,"Brian Murphy Barn Restorations, Inc.",Bucks, 8 Annawanda Rd, Ottsville,www.barnguys.com ,610-847-2616,"Recycled/Reused Timber, Hardware, Stone from Old Barns"
Construction/Demolition Materials,"Colony Materials, LLC",Bucks, 7144 Danboro Point Pleasant Pike, Point Pleasant,www.hkgroup.com ,215-297-8111,"Asphalt, Brick, Concrete, Block"
Construction/Demolition Materials,"Construction, Demolition, & Recycling, Inc.",Bucks, 1060 Industrial Blvd, Southampton,www.cdrtransferstation.com,215-322-2372,"Concrete, Cinder Block, Brick Asphalt, Creosote Railroad Ties"
Construction/Demolition Materials,"Mount Materials LLC, Recycling Facility",Bucks, 100 Pipe Mill Rd, Fairless Hills,www.mountconstruction.com ,856-768-8493,Concrete and Block
Construction/Demolition Materials,The Green Guys,Bucks, 95 James Way STE 120, Southampton,,215-262-8063,Contact: Bruce Shankin; Provides Containers for Recyclables at Construction Sites
Data Destruction,E waste Experts,Bucks, 416 Green Ln, Bristol,http://www.ewasteexperts.com/,1-877-328-2927,Data and Hard Drive Destruction
Data Destruction,611 Metals Recycling,Bucks, 6776 Easton Rd, Pipersville,www.611metals.com ,267-221-6924,"Aluminum Scrap, Ferrous Metals, Lead, Brass, Catalytic Converters, Cu, Mn, Ni, X-Rays/X-Ray Film, Stainless Steel "
Data Destruction,Gigabiter,Bucks, 130 Penn Am Dr Unit C, Quakertown,http://www.gigabiter.com/newindex.php,1-866-944-2248,Computer and Electronic Data Destruction
Electronic Equiptment,E waste Experts,Bucks, 416 Green Ln, Bristol,http://www.ewasteexperts.com/,1-877-328-2927,All Electronics
Electronic Equiptment,611 Metals,Bucks, 6776 Easton Rd, Pipersville,http://www.611metals.com/,267-221-6924,All Electronics
