Item,Location Name,County,Address,City,Phone,Details,Website,,
Air Conditioners,A & B Salvage,Butler, 112 Little Yellowcreek Rd, Harmony,724-452-5865,White Goods,,,
Air Conditioners,PSC Metals Inc./ Slippery Rock Recycling,Butler, 656 New Castle Rd, Slippery Rock,724-794-6129,White Goods,www.PSCMetals.com ,,
Aluminum,A & B Salvage,Butler, 112 Little Yellowcreek Rd, Harmony,724-452-5865,Aluminum Cans,,,
Aluminum,MRC Scrap Metals,Butler, 201 Kittanning St, Butler,724-285-5865,Aluminum Cans,www.mrcscrapmetals.com ,,
Aluminum,PSC Metals Inc./ Slippery Rock Recycling,Butler, 656 New Castle Rd, Slippery Rock,724-794-6129,Aluminum Cans,www.PSCMetals.com ,,
Aluminum,Reges Auto Wrecking,Butler, 770 Holyoke Rd, Butler,724-285-5113,Aluminum Cans,,,
Aluminum,"Tri county Recycling, LLC",Butler, 120 Hutchman Rd, Mars,724-625-9000,Aluminum Cans,www.tricountyind.com ,,
Antifreeze,ECS&R,Butler,129 Ash Stop Road,Evans City,1-866-815-0016, By Appointment Only,http://butlertwp.org/wp-content/uploads/2014/11/HHW-FLYER-2017-all-dates1.pdf,,
Appliances (with Freon),A & B Salvage,Butler, 112 Little Yellowcreek Rd, Harmony,724-452-5865,White Goods,,,
Appliances (with Freon),PSC Metals Inc./ Slippery Rock Recycling,Butler, 656 New Castle Rd, Slippery Rock,724-794-6129,White Goods,www.PSCMetals.com ,,
Appliances (No Freon),A & B Salvage,Butler, 112 Little Yellowcreek Rd, Harmony,724-452-5865,White Goods,,,
Appliances (No Freon),PSC Metals Inc./ Slippery Rock Recycling,Butler, 656 New Castle Rd, Slippery Rock,724-794-6129,White Goods,www.PSCMetals.com ,,
Aseptic Packaging (Drink Boxes/Milk Cartons),Gateway Recycling,Butler, 416 Halstead Blvd, Zelienople,412-837-8777,"Corrugated Containers, Office Paper (Commercial Use Only)",www.gatewayrecycle.com ,,
Aseptic Packaging (Drink Boxes/Milk Cartons),"Inter state Recycling, Inc.",Butler, 1134 Branchton Rd, West Sunbury,724-794-5239,"Corrugated Containers, Mix Office Paper, White Ledger Paper",,,
Aseptic Packaging (Drink Boxes/Milk Cartons),"Tri county Recycling, LLC",Butler, 120 Hutchman Rd, Mars,724-625-9000,"Corrugated Containers, Newspapers, Sorted Office Paper",www.tricountyind.com ,,
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Collier Stone,Butler,80 Noblestown Road,Carnegie, (412) 276-7300,"Brick, Concrete, Asphalt",http://www.collierstonepa.com/12.html,,
Automotive Parts & Liquids,ECS&R,Butler,129 Ash Stop Road,Evans City,1-866-815-0016, By Appointment Only,http://butlertwp.org/wp-content/uploads/2014/11/HHW-FLYER-2017-all-dates1.pdf,,
Batteries (Alkaline/Zinc Carbon),ECS&R,Butler, 129 Ash Stop Rd, Evans City,1-866-815-0016,Batteries,http://www.ecsr.net/,,
Batteries (Button Cell),ECS&R,Butler, 129 Ash Stop Rd, Evans City,1-866-815-0016,Batteries,http://www.ecsr.net/,,
Batteries (Lead Acid),MRC Scrap Metals,Butler, 201 Kittanning St, Butler,724-285-5865,Auto Batteries,www.mrcscrapmetals.com ,,
Batteries (Lead Acid),ECS&R,Butler, 129 Ash Stop Rd, Evans City,1-866-815-0016,Batteries,http://www.ecsr.net/,,
Batteries (Rechargable) ,ECS&R,Butler, 129 Ash Stop Rd, Evans City,1-866-815-0016,Batteries,http://www.ecsr.net/,,
Biohazardous Waste,ECS&R,Butler,129 Ash Stop Road,Evans City,1-866-815-0016, By Appointment Only,http://butlertwp.org/wp-content/uploads/2014/11/HHW-FLYER-2017-all-dates1.pdf,,
Bricks,Collier Stone,Butler,80 Noblestown Road,Carnegie, (412) 276-7300,"Brick, Concrete, Asphalt",http://www.collierstonepa.com/12.html,,
Building Materials,Construction Junction,Butler,"214 North Lexington Avenue
",Point Breeze,(412) 243-5025,,www.constructionjunction.org ,,
Bulbs,ECS&R,Butler, 129 Ash Stop Rd, Evans City,1-866-815-0016,Fluorescent Tubes,http://www.ecsr.net/,,
Cardboard,Gateway Recycling,Butler, 416 Halstead Blvd, Zelienople,412-837-8777,"Corrugated Containers, Office Paper (Commercial Use Only)",www.gatewayrecycle.com ,,
Cardboard,"Inter state Recycling, Inc.",Butler, 1134 Branchton Rd, West Sunbury,724-794-5239,"Corrugated Containers, Mix Office Paper, White Ledger Paper",,,
Cardboard,"Tri county Recycling, LLC",Butler, 120 Hutchman Rd, Mars,724-625-9000,"Corrugated Containers, Newspapers, Sorted Office Paper",www.tricountyind.com ,,
Cartons,Gateway Recycling,Butler, 416 Halstead Blvd, Zelienople,412-837-8777,"Corrugated Containers, Office Paper (Commercial Use Only)",www.gatewayrecycle.com ,,
