Item,Location Name,County,Address,City,Phone,Details,Website,Website,,,
Air Conditioners,See Appliances,Cambria,,,,,,,,,
Aluminum,Cresson Steel Co.,Cambria, 134 Pfeister Ave, Cresson,814-886-4121,Aluminum Cans,www.store.cressonsteel.com ,,,,
Aluminum,Elias Scrap Metal,Cambria, 214 Double Dam Rd, Barnesboro,814-948-9100,Aluminum Cans,,,,,
Aluminum,EMF Development Corp,Cambria, 1019 River Ave, Johnstown,814-536-5047,Aluminum Cans,www.emfdevelopment.com ,,,,
Aluminum,Paul's Metals,Cambria, 248 Allen St, Portage,814-736-8434,Aluminum Cans,,,,,
Aluminum,"Rollock, Inc.",Cambria, 1317&1319 Main St, Johnstown,814-535-7522,Aluminum Cans,WWW.ROLLOCKINC.COM ,,,,
Aluminum,S & B Recycling,Cambria, 391 Bethel Rd, Ebensburg,814-472-6575,Aluminum Cans ,,,,,
Aluminum,Stager Wrecking Company,Cambria, 928 N Railroad St, Portage,814-736-4281,Aluminum Cans,,,,,
Aluminum,Stager Wrecking Company,Cambria, 928 N Railroad St, Portage,814-736-4281,Aluminum Cans,,,,,
Ammunition,,Cambria,,,,,,,,,
Antifreeze,HHW,Cambria,,,,,,,,,
Appliances (with Freon),Cresson Steel Co.,Cambria, 134 Pfeister Ave, Cresson,814-886-4121,White Goods,www.store.cressonsteel.com ,,,,
Appliances (with Freon),Elias Scrap Metal,Cambria, 214 Double Dam Rd, Barnesboro,814-948-9100,White Goods,,,,,
Appliances (with Freon),EMF Development Corp,Cambria, 1019 River Ave, Johnstown,814-536-5047,White Goods,www.emfdevelopment.com ,,,,
Appliances (with Freon),Matt Calandra & Sons Inc.,Cambria, 124 Calandra Ln, Cresson,814-886-8139,White Goods,,,,,
Appliances (No Freon),Cresson Steel Co.,Cambria, 134 Pfeister Ave, Cresson,814-886-4121,White Goods,www.store.cressonsteel.com ,,,,
Appliances (No Freon),Elias Scrap Metal,Cambria, 214 Double Dam Rd, Barnesboro,814-948-9100,White Goods,,,,,
Appliances (No Freon),EMF Development Corp,Cambria, 1019 River Ave, Johnstown,814-536-5047,White Goods,www.emfdevelopment.com ,,,,
Appliances (No Freon),Matt Calandra & Sons Inc.,Cambria, 124 Calandra Ln, Cresson,814-886-8139,White Goods,,,,,
Appliances (No Freon),Cambria County Solid Waste Authority,Cambria, 507 Manor Dr, Ebensburg,814-472-2109,Microwaves,http://www.cambriarecycles.org/,,,,
Art & Education Materials,Donate,Cambria,,,,,,,,,
Asbestos,,Cambria,,,,,,,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),See Paper,Cambria,,,,,,,,,
"Asphalt, Brick, Concrete, Gravel, & Porcelain",See Construction/Demolition Materials,Cambria,,,,,,,,,
"Audio/Videotapes, CDs, DVDs, & Records",Donate,Cambria,,,,,,,,,
Automotive Parts & Liquids,HHW,Cambria,,,,,,,,,
Ballast,See Bulbs,Cambria,,,,,,,,,
Batteries (Alkaline/Zinc Carbon),,Cambria,,,,,,,,,
Batteries (Button Cell),,Cambria,,,,,,,,,
Batteries (Lead Acid),Elias Scrap Metal,Cambria, 214 Double Dam Rd, Barnesboro,814-948-9100,Auto Batteries,,,,,
Batteries (Lead Acid),EMF Development Corp,Cambria, 1019 River Ave, Johnstown,814-536-5047,Auto Batteries,www.emfdevelopment.com ,,,,
Batteries (Lead Acid),"Rollock, Inc.",Cambria, 1317&1319 Main St, Johnstown,814-535-7522,Auto Batteries,WWW.ROLLOCKINC.COM ,,,,
Batteries (Rechargable) ,Cambria County Solid Waste Authority,Cambria, 507 Manor Dr, Ebensburg,814-472-2109,Lithium and NiCad Batteries,http://www.cambriarecycles.org/,,,,
Biohazardous Waste,HHW,Cambria,,,,,,,,,
Books,Donate or See Paper,Cambria,,,,,,,,,
Bricks,Construction/Demolition Materials,Cambria,,,,,,,,,
Building Materials,Conastruction/Demolition Materials,Cambria,,,,,,,,,
Bulbs,,Cambria,,,,,,,,,
Car/Vehicle Donations,,Cambria,,,,,,,,,
Car Seats,,Cambria,,,,,,,,,
Cardboard,See Paper,Cambria,,,,,,,,,
Carpet,,Cambria,,,,,,,,,
Cartons,See Paper,Cambria,,,,,,,,,
Cell Phones,See Electronics,Cambria,,,,,,,,,
Christmas Lights,,Cambria,,,,,,,,,
Christmas Trees,,Cambria,,,,,,,,,
Clothing/Textiles,Donate,Cambria,,,,,,,,,
CFL Bulbs,Cambria County Solid Waste Authority,Cambria, 507 Manor Dr, Ebensburg,814-472-2109,CFL Bulbs,http://www.cambriarecycles.org/,,,,
Compost,,Cambria,,,,,,,,,
Computers,Cambria County Solid Waste Authority,Cambria, 507 Manor Dr, Ebensburg,814-472-2109,Computers and Peripherals,http://www.cambriarecycles.org/,,,,
Concrete,See Construction/Demolition Materials,Cambria,,,,,,,,,
Construction/Demolition Materials,,Cambria,,,,,,,,,
Cooking Oil,,Cambria,,,,,,,,,
Cork,,Cambria,,,,,,,,,
Couches,,Cambria,,,,,,,,,
Cylinders,,Cambria,,,,,,,,,
Data Destruction,,Cambria,,,,,,,,,
Dehumidifier,See Appliances,Cambria,,,,,,,,,
Donations,,Cambria,,,,,,,,,
Drugs,Check the DEA Website for Nearby Drop Off Sites ,Cambria,,,,,https://apps.ddap.pa.gov/GetHelpNow/PillDrop.aspx,,,,
Driveway Sealer,HHW,Cambria,,,,,,,,,
Drywall,See Construction/Demolition Materials,Cambria,,,,,,,,,
Electronic Equiptment,Cambria County Solid Waste Authority,Cambria, 507 Manor Dr, Ebensburg,814-472-2109,Most Electronics,http://www.cambriarecycles.org/,,,,
Eyeglasses,,Cambria,,,,,,,,,
Filters,,Cambria,,,,,,,,,
Fire Extinguishers,,Cambria,,,,,,,,,
Fishing Lines,,Cambria,,,,,,,,,
Flares,,Cambria,,,,,,,,,
Fluorescent Lights,See Bulbs,Cambria,,,,,,,,,
Foam,See Plastic,Cambria,,,,,,,,,
Food,,Cambria,,,,,,,,,
Freon,See Plastic,Cambria,,,,,,,,,
Fuels/Solvents,HHW,Cambria,,,,,,,,,
Furniture,Donate,Cambria,,,,,,,,,
Glass,,Cambria,,,,,,,,,
Grease,See Cooking Oil,Cambria,,,,,,,,,
Greeting Cards,See Paper,Cambria,,,,,,,,,
Grocery Bags,See Plastic Films,Cambria,,,,,,,,,
Hangers,,Cambria,,,,,,,,,
Hazardous Waste,Cambria County Solid Waste Authority,Cambria, 507 Manor Dr, Ebensburg,814-472-2109,HHW,http://www.cambriarecycles.org/,,,,
Helium Tanks,See Scrap & Metal,Cambria,,,,,,,,,
Humidifier,See Appliances,Cambria,,,,,,,,,
Ink Cartridges,See Toner/Laser Cartridges,Cambria,,,,,,,,,
Junk Removal,1800GOTJUNK,Cambria,,,,,,,,,
Junk Mail,See Paper,Cambria,,,,,,,,,
Kerosene,HHW,Cambria,,,,,,,,,
Light Bulbs,See Bulbs,Cambria,,,,,,,,,
Medicine,See Drugs,Cambria,,,,,,,,,
Mercury,Cambria County Solid Waste Authority,Cambria, 507 Manor Dr, Ebensburg,814-472-2109,Mercury and Mercury Containing Devices,http://www.cambriarecycles.org/,,,,
,HHW,Cambria,,,,,,,,,
Microwaves,See Appliances,Cambria,,,,,,,,,
Milk Cartons & Drink Boxes,See Paper,Cambria,,,,,,,,,
Mobile Phones,See Cell Phones,Cambria,,,,,,,,,
Monofilament (Fishing Line),Cambria County Solid Waste Authority,Cambria, 507 Manor Dr, Ebensburg,814-472-2109,Monofilament/Fishing Line,http://www.cambriarecycles.org/,,,,
Motor Oil,"Check Local Mechanic Shops, Auto Zone, Pep Boys, (Check DEP Site for Collection Events, PRC Events)",Cambria,,,"For Large Quantities, Check Safety Kleen Site for Nearby Locations--->",DEP HHW Events by County,Find Safety Kleen Near Me,,,,
Needles,See Sharps/Syringes,Cambria,,,,,,,,,
Oil,"Check Local Mechanic Shops, Auto Zone, Pep Boys, (Check DEP Site for Collection Events, PRC Events)",Cambria,,,"For Large Quantities, Check Safety Kleen Site for Nearby Locations--->",DEP HHW Events by County,Find Safety Kleen Near Me,,,,
Packaging Peanuts,See Plastic,Cambria,,,,,,,,,
Paint (Oil/Solvent Base),HHW,Cambria,,,,,,,,,
Paper,"Rollock, Inc.",Cambria, 1317&1319 Main St, Johnstown,814-535-7522,Corrugated Containers,WWW.ROLLOCKINC.COM ,,,,
,Cambria County Solid Waste Authority,Cambria, 507 Manor Dr, Ebensburg,814-472-2109,"Corrugated Containers, Newspapers, Magazines",http://www.cambriarecycles.org/,,,,
Paper Shredding,,Cambria,,,,,,,,,
Pesticides,HHW,Cambria,,,,,,,,,
Pet Supplies,,Cambria,,,,,,,,,
Phone Books,See Paper,Cambria,,,,,,,,,
Phones,See Cell Phones,Cambria,,,,,,,,,
Plastic,Cambria County Solid Waste Authority,Cambria, 507 Manor Dr, Ebensburg,814-472-2109,"PET, HDPE",http://www.cambriarecycles.org/,,,,
Plastic Bottle Caps,Trash,Cambria,,,,,,,,,
Polystyrene,See Plastic,Cambria,,,,,,,,,
Pool Chemicals,HHW,Cambria,,,,,,,,,
Prom Dresses,Donate,Cambria,,,,,,,,,
Propane Tanks,See Scrap & Metal,Cambria,,,,,,,,,
Railroad Ties,See Yard Waste,Cambria,,,,,,,,,
Rain Barrels,,Cambria,,,,,,,,,
Refrigerators,See Appliances,Cambria,,,,,,,,,
Scrap & Metal,Cresson Steel Co.,Cambria, 134 Pfeister Ave, Cresson,814-886-4121,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Catalytic Converters, Stainless Steel",www.store.cressonsteel.com ,,,,
Scrap & Metal,Elias Scrap Metal,Cambria, 214 Double Dam Rd, Barnesboro,814-948-9100,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal",,,,,
Scrap & Metal,EMF Development Corp,Cambria, 1019 River Ave, Johnstown,814-536-5047,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Catalytic Converters, Stainless Steel",www.emfdevelopment.com ,,,,
Scrap & Metal,Kern Auto Wreckers,Cambria, 704 Pickworth St, Johnstown,Contact: Donald Kern 814-536-5834,"Aluminum Scrap, Lead, Stainless Steel ",,,,,
Scrap & Metal,Matt Calandra & Sons Inc.,Cambria, 124 Calandra Ln, Cresson,814-886-8139,"Ferrous Metal, Non-Ferrous Metal",,,,,
Scrap & Metal,Paul's Metals,Cambria, 248 Allen St, Portage,814-736-8434,"Ferrous Metal, Non-Ferrous Metal, Lead",,,,,
Scrap & Metal,"Rollock, Inc.",Cambria, 1317&1319 Main St, Johnstown,814-535-7522,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Catalytic Converters, Stainless Steel ",WWW.ROLLOCKINC.COM ,,,,
Scrap & Metal,S & B Recycling,Cambria, 391 Bethel Rd, Ebensburg,814-472-6575,"Aluminum Scrap, Non-Ferrous Metal ",,,,,
Scrap & Metal,Stager Wrecking Company,Cambria, 928 N Railroad St, Portage,814-736-4281,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",,,,,
