Item,Location Name,County,Address,City,Phone,Details,Website,Website,,,
Air Conditioners,See Appliances,Centre,,,,,,,,,
Aluminum,Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,Aluminum Cans,www.centrecountyrecycles.com ,,,,
Aluminum,"Hodes Industries, Inc.",Centre, 153 Tressler St, Pleasant Gap,814-359-2742,Aluminum Cans,,,,,
Aluminum,Lyons Salvage,Centre, 1806 Zion Rd, Bellefonte,814-355-3974,Aluminum Cans,,,,,
Aluminum,Seprish's Recycling Center,Centre, 1103 W Sycamore Rd, Snow Shoe,814-387-6650,Aluminum Cans,,,,,
Ammunition,,Centre,,,,,,,,,
Antifreeze,HHW,Centre,,,,,,,,,
Antifreeze,Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,Antifreeze,www.centrecountyrecycles.com ,,,,
Antifreeze,Lohr's Garage,Centre, 1869 N Atherton St, State College,814-234-7888,Antifreeze,http://www.lohrsauto.com/,,,,
Appliances (with Freon),Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,White Goods,www.centrecountyrecycles.com ,,,,
Appliances (No Freon),Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,White Goods ,www.centrecountyrecycles.com ,,,,
Art & Education Materials,Donate,Centre,,,,,,,,,
Asbestos,,Centre,,,,,,,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),See Paper,Centre,,,,,,,,,
"Asphalt, Brick, Concrete, Gravel, & Porcelain",See Construction/Demolition Materials,Centre,,,,,,,,,
"Audio/Videotapes, CDs, DVDs, & Records",Donate,Centre,,,,,,,,,
Automotive Parts & Liquids,HHW,Centre,,,,,,,,,
Ballast,See Bulbs,Centre,,,,,,,,,
Batteries (Alkaline/Zinc Carbon),,Centre,,,,,,,,,
Batteries (Button Cell),,Centre,,,,,,,,,
Batteries (Lead Acid),Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,Auto Batteries,www.centrecountyrecycles.com ,,,,
Batteries (Lead Acid),Lohr's Garage,Centre, 1869 N Atherton St, State College,814-234-7888,Auto Batteries,http://www.lohrsauto.com/,,,,
Batteries (Rechargable) ,,Centre,,,,,,,,,
Biohazardous Waste,HHW,Centre,,,,,,,,,
Books,Donate or See Paper,Centre,,,,,,,,,
Bricks,See Construction/Demolition Materials,Centre,,,,,,,,,
Building Materials,See Construction/Demolition Materials,Centre,,,,,,,,,
Bulbs,,Centre,,,,,,,,,
Car/Vehicle Donations,,Centre,,,,,,,,,
Car Seats,,Centre,,,,,,,,,
Cardboard,See Paper,Centre,,,,,,,,,
Carpet,,Centre,,,,,,,,,
Cartons,See Paper,Centre,,,,,,,,,
Cell Phones,See Electronics,Centre,,,,,,,,,
Christmas Lights,,Centre,,,,,,,,,
Christmas Trees,,Centre,,,,,,,,,
Clothing/Textiles,Donate,Centre,,,,,,,,,
CFL Bulbs,See Bulbs,Centre,,,,,,,,,
Compost,,Centre,,,,,,,,,
Computers,Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,eLoop Drop-Off Location,www.centrecountyrecycles.com ,,,,
Concrete,See Construction/Demolition Materials,Centre,,,,,,,,,
Construction/Demolition Materials,Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,"Vinyl Siding, Post-Consumer Shingles",www.centrecountyrecycles.com ,,,,
Construction/Demolition Materials,Glenn O. Hawbaker Recycling Center,Centre, 110 Hawbaker Industrial Drive St, State College,814-272-0008,"Concrete, Block, Brick, Asphalt, Pre and Post-Consumer Shingles, Yard Waste",www.goh-inc.com/services/recycle-center-state-college,,,,
Cooking Oil,,Centre,,,,,,,,,
Cork,,Centre,,,,,,,,,
Couches,,Centre,,,,,,,,,
Cylinders,,Centre,,,,,,,,,
Data Destruction,,Centre,,,,,,,,,
Dehumidifier,See Appliances,Centre,,,,,,,,,
Donations,,Centre,,,,,,,,,
