Item,Location Name,County,Address,City,Phone,Details,Website,,,
Air Conditioners,Coatesville Scrap Iron & Metal Co.,Chester, 1000 S 1st Ave, Coatesville,610-384-9230,White Goods,WWW.COATESVILLESCRAP.COM ,,,
Air Conditioners,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Freon Containing Appliances,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Air Conditioners,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,Freon Containing Appliances,http://seccra.org/other-recycling/,,,
Aluminum,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,Aluminum Cans,www.AJBlosenski.com ,,,
Aluminum,Bannon Metals Company,Chester, 514 Twin County Rd, Honey Brook,610-286-9797,Aluminum Cans,http://www.bannonmetals.webs.com ,,,
Aluminum,Coatesville Scrap Iron & Metal Co.,Chester, 1000 S 1st Ave, Coatesville,610-384-9230,Aluminum Cans,WWW.COATESVILLESCRAP.COM ,,,
Aluminum,"Harris Metals, LLC",Chester, 446 Gum Tree Rd, Coatesville,610-857-4670,Aluminum Cans,www.harrismetals.net ,,,
Aluminum,"JE Kodish & Sons, Inc.",Chester, 225 S Washington St, West Chester,610-696-1054,Aluminum Cans,www.jekodishscrapmetal.com ,,,
Aluminum,Laurel Recycling,Chester, 1000 S 1st Ave, Coatesville,610-383-5999,Aluminum Cans ,,,,
Aluminum,Phoenixville Scrap Company,Chester, 705 St Mary's St, Phoenixville,610-935-9363,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",WWW.MAYERPOLLOCK.COM ,,,
Aluminum,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,"Aluminum Cans, Plates, and Foil",http://www.chestercountyswa.org/index.aspx?nid=170,,,
Aluminum,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,Aluminum Cans,http://seccra.org/single-stream-recycling/,,,
Aluminum,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,Aluminum Cans,http://www.west-chester.com/160/Recycling,,,
Antifreeze,Chester County HHW events,Chester,7224 Division Hwy,Narvon,610-273-3771,,http://www.chestercountyswa.org/DocumentCenter/View/1711,,,
