Item,Location Name,County,Address,City,Phone,Details,Website,,,
Air Conditioners,Meadville Metal Co.,Crawford , 986 French St, Meadville,814-724-2241,White Goods,www.lincolnmetalco.com ,,,
Aluminum,Meadville Metal Co.,Crawford , 986 French St, Meadville,814-724-2241,Aluminum Cans,www.lincolnmetalco.com ,,,
Antifreeze,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Appliances (with Freon),Meadville Metal Co.,Crawford , 986 French St, Meadville,814-724-2241,White Goods,www.lincolnmetalco.com ,,,
Appliances (No Freon),Meadville Metal Co.,Crawford , 986 French St, Meadville,814-724-2241,White Goods,www.lincolnmetalco.com ,,,
Automotive Parts & Liquids,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Batteries (Alkaline/Zinc Carbon),ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,Batteries,http://www.ecsr.net/services/electronic-universal-waste/,,,
Batteries (Button Cell),ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,Batteries,http://www.ecsr.net/services/electronic-universal-waste/,,,
Batteries (Lead Acid),Meadville Metal Co.,Crawford , 986 French St, Meadville,814-724-2241,Auto Batteries ,www.lincolnmetalco.com ,,,
Batteries (Lead Acid),ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,Batteries,http://www.ecsr.net/services/electronic-universal-waste/,,,
Batteries (Rechargable) ,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,Batteries,http://www.ecsr.net/services/electronic-universal-waste/,,,
Biohazardous Waste,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Bulbs,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,CFL Bulbs ,http://www.ecsr.net/services/electronic-universal-waste/,,,
Cell Phones,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,All Electronics,http://www.ecsr.net/services/electronic-universal-waste/,,,
CFL Bulbs,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,CFL Bulbs ,http://www.ecsr.net/services/electronic-universal-waste/,,,
Computers,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,All Electronics,http://www.ecsr.net/services/electronic-universal-waste/,,,
Dehumidifier,Meadville Metal Co.,Crawford , 986 French St, Meadville,814-724-2241,White Goods,www.lincolnmetalco.com ,,,
