Item,Location Name,County,Address,City,Phone,Details,Website,,
Air Conditioners,"Consolidated Scrap Resources, Inc.",Dauphin, 1616 N Cameron St, Harrisburg,717-233-7927,White Goods,www.consolidatedscrap.com ,,
Air Conditioners,Dauphin County Recycling Center,Dauphin, 1620 S 19th St, Harrisburg,717-982-6772,"White Goods, Fees Apply",http://www.dauphincounty.org/government/Waste-Management-and-Recycling/Recycling-Center/Documents/Accepted-Electronics.pdf,,
Air Conditioners,One Stop Recycling,Dauphin, 1855 Pottsville St, Lykens,717-453-7840,White Goods,,,
Air Conditioners,Royalton Recycling,Dauphin, 3 Hollendale St, Royalton,717-508-4224,White Goods,www.royaltonrecycling.com,,
Air Conditioners,Stoneroad Iron & Metal #2,Dauphin, 10191 SR 209 Williamstown, PA ,717-647-7300,White Goods,www.stoneroadrecycling.com ,,
Aluminum,"Consolidated Scrap Resources, Inc.",Dauphin, 1616 N Cameron St, Harrisburg,717-233-7927,Aluminum Cans,www.consolidatedscrap.com ,,
Aluminum,Dauphin County Recycling Center,Dauphin, 1620 S 19th St, Harrisburg,717-982-6772,Aluminum Cans,,,
Aluminum,"Harrisburg Waste Paper Co., Inc.",Dauphin, 4200 Industrial Rd, Harrisburg,717-236-7971,Aluminum Cans,,,
Aluminum,One Stop Recycling,Dauphin, 1855 Pottsville St, Lykens,717-453-7840,Aluminum Cans,,,
Aluminum,Royalton Recycling,Dauphin, 3 Hollendale St, Royalton,717-508-4224,Aluminum Cans,www.royaltonrecycling.com,,
Aluminum,Stoneroad Iron & Metal #2,Dauphin, 10191 SR 209 Williamstown, PA ,717-647-7300,Aluminum Cans,www.stoneroadrecycling.com ,,
Aluminum,Tri State Scrap LLC,Dauphin, 2209 N 7th Harrisburg, PA ,717-233-5606,Aluminum Cans,www.tristatescrapllc.com ,,
Aluminum,"US Recycling, LLC",Dauphin, 1745 N 7th St, Harrisburg,717-232-4964,Aluminum Cans,www.usrecyclingpa.com ,,
Antifreeze,HHW Curbside pickup,Dauphin,"1625 South Cameron Street
 ",Harrisburg,1-800-449-7587,Call number to schedule curbside collection visit webpage for more information,http://www.dauphincounty.org/government/Waste-Management-and-Recycling/Household-Hazardous-Waste/Pages/Manage-Your-HHW.aspx,,
Appliances (with Freon),"Consolidated Scrap Resources, Inc.",Dauphin, 1616 N Cameron St, Harrisburg,717-233-7927,White Goods,www.consolidatedscrap.com ,,
Appliances (with Freon),Dauphin County Recycling Center,Dauphin, 1620 S 19th St, Harrisburg,717-982-6772,"White Goods, Fees Apply",http://www.dauphincounty.org/government/Waste-Management-and-Recycling/Recycling-Center/Documents/Accepted-Electronics.pdf,,
Appliances (with Freon),One Stop Recycling,Dauphin, 1855 Pottsville St, Lykens,717-453-7840,White Goods,,,
Appliances (with Freon),Royalton Recycling,Dauphin, 3 Hollendale St, Royalton,717-508-4224,White Goods,www.royaltonrecycling.com,,
Appliances (with Freon),Stoneroad Iron & Metal #2,Dauphin, 10191 SR 209 Williamstown, PA ,717-647-7300,White Goods,www.stoneroadrecycling.com ,,
Appliances (No Freon),"Consolidated Scrap Resources, Inc.",Dauphin, 1616 N Cameron St, Harrisburg,717-233-7927,White Goods,www.consolidatedscrap.com ,,
Appliances (No Freon),Dauphin County Recycling Center,Dauphin, 1620 S 19th St, Harrisburg,717-982-6772,White Goods,,,
Appliances (No Freon),One Stop Recycling,Dauphin, 1855 Pottsville St, Lykens,717-453-7840,White Goods,,,
Appliances (No Freon),Royalton Recycling,Dauphin, 3 Hollendale St, Royalton,717-508-4224,White Goods,www.royaltonrecycling.com,,
Appliances (No Freon),Stoneroad Iron & Metal #2,Dauphin, 10191 SR 209 Williamstown, PA ,717-647-7300,White Goods,www.stoneroadrecycling.com ,,
Automotive Parts & Liquids,"US Recycling, LLC",Dauphin, 1745 N 7th St, Harrisburg,717-232-4964,Specializes in Recycling Auto Parts,www.usrecyclingpa.com ,,
Automotive Parts & Liquids,HHW Curbside pickup,Dauphin,"1625 South Cameron Street
 ",Harrisburg,1-800-449-7587,Call number to schedule curbside collection visit webpage for more information,http://www.dauphincounty.org/government/Waste-Management-and-Recycling/Household-Hazardous-Waste/Pages/Manage-Your-HHW.aspx,,
Batteries (Lead Acid),Batteries Plus,Dauphin, 4513 Jonestown Rd, Harrisburg,717-652-1584,"Auto Batteries, NiCad Batteries, Nickel Metal Hydride Batteries, Lithium Ion & Lithium Polymer Batteries",www.batteriesplus.com ,,
Batteries (Lead Acid),"Consolidated Scrap Resources, Inc.",Dauphin, 1616 N Cameron St, Harrisburg,717-233-7927,Auto Batteries ,www.consolidatedscrap.com ,,
Batteries (Lead Acid),Greenworks Recycling LLC,Dauphin, 1500 N 12th St, Harrisburg,717-364-8295,Auto Batteries,,,
Batteries (Lead Acid),One Stop Recycling,Dauphin, 1855 Pottsville St, Lykens,717-453-7840,Auto Batteries,,,
Batteries (Lead Acid),Stoneroad Iron & Metal #2,Dauphin, 10191 SR 209 Williamstown, PA ,717-647-7300,Auto Batteries,www.stoneroadrecycling.com ,,
Batteries (Lead Acid),The Battery Warehouse,Dauphin, 5399 Allentown Blvd, Harrisburg,717-652-0565,Lead Acid Batteries,www.batteryhouse.net/harrisburg ,,
Batteries (Lead Acid),"US Recycling, LLC",Dauphin, 1745 N 7th St, Harrisburg,717-232-4964,Auto Batteries,www.usrecyclingpa.com ,,
Biohazardous Waste,HHW Curbside pickup,Dauphin,"1625 South Cameron Street
 ",Harrisburg,1-800-449-7587,Call number to schedule curbside collection visit webpage for more information,http://www.dauphincounty.org/government/Waste-Management-and-Recycling/Household-Hazardous-Waste/Pages/Manage-Your-HHW.aspx,,
Bulbs,Dauphin County Recycling Center,Dauphin, 1625 S Cameron St, Harrisburg,717-982-6772,CFL Bulbs,http://www.dauphincounty.org/government/Waste-Management-and-Recycling/Pages/default.aspx,,
Cardboard,Dauphin County Recycling Center,Dauphin, 1620 S 19th St, Harrisburg,717-982-6772,"Corrugated Containers, Newspapers, Catalogs, Magazines, Phone Books (Provides Paper Shredding Service)",,,
Cardboard,"Harrisburg Waste Paper Co., Inc.",Dauphin, 4200 Industrial Rd, Harrisburg,717-236-7971,"Brown Bags/Sacks, Corrugated Containers, Newspapers, Catalogs, Magazines, Phone Books, White Ledger",,,
Cardboard,Stoneroad Iron & Metal #2,Dauphin, 10191 SR 209 Williamstown, PA ,717-647-7300,Corrugated Containers ,www.stoneroadrecycling.com ,,
Cell Phones,Dauphin County Recycling Center,Dauphin, 1620 S 19th St, Harrisburg,717-982-6772,,http://www.dauphincounty.org/government/Waste-Management-and-Recycling/Recycling-Center/Documents/Accepted-Electronics.pdf,,
Clothing/Textiles,Donate,Dauphin,,,,,,,
CFL Bulbs,Dauphin County Recycling Center,Dauphin, 1620 S 19th St, Harrisburg,717-982-6772,,http://www.dauphincounty.org/government/Waste-Management-and-Recycling/Recycling-Center/Documents/Accepted-Electronics.pdf,,
Computers,Dauphin County Recycling Center,Dauphin, 1620 S 19th St, Harrisburg,717-982-6772,,http://www.dauphincounty.org/government/Waste-Management-and-Recycling/Recycling-Center/Documents/Accepted-Electronics.pdf,,
Dehumidifier,"Consolidated Scrap Resources, Inc.",Dauphin, 1616 N Cameron St, Harrisburg,717-233-7927,White Goods,www.consolidatedscrap.com ,,
Dehumidifier,Dauphin County Recycling Center,Dauphin, 1620 S 19th St, Harrisburg,717-982-6772,"White Goods, Fees Apply",,,
Dehumidifier,One Stop Recycling,Dauphin, 1855 Pottsville St, Lykens,717-453-7840,White Goods,,,
Dehumidifier,Royalton Recycling,Dauphin, 3 Hollendale St, Royalton,717-508-4224,White Goods,www.royaltonrecycling.com,,
Dehumidifier,Stoneroad Iron & Metal #2,Dauphin, 10191 SR 209 Williamstown, PA ,717-647-7300,White Goods,www.stoneroadrecycling.com ,,
Drugs,Check the DEA Website for Nearby Drop Off Sites ,Dauphin,,,,,https://apps.ddap.pa.gov/GetHelpNow/PillDrop.aspx,,
Driveway Sealer,HHW Curbside pickup,Dauphin,"1625 South Cameron Street
 ",Harrisburg,1-800-449-7587,Call number to schedule curbside collection visit webpage for more information,http://www.dauphincounty.org/government/Waste-Management-and-Recycling/Household-Hazardous-Waste/Pages/Manage-Your-HHW.aspx,,
