Item,Location Name,County,Address,City,Phone,Details,Website,,,,
Air Conditioners,International Non-Ferrous Metals,Delaware,2918 W 2nd St,Chester,610-494-0200,White Goods,,,,,
Air Conditioners,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,Appliances Containing Freon,https://www.ccrcyber.com/services/e-waste-management/,,,,
Aluminum,Accurate Metals LLC,Delaware, 29 N 5th St, Darby,610-583-7177,Aluminum Cans,www.accuraterecycling.com ,,,,
Aluminum,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,Aluminum Cans,www.accuraterecycling.com ,,,,
Aluminum,Ben & Sam's Scrap Yard,Delaware, 101 Yarnall St, Chester,610-497-2533,Aluminum Cans,,,,,
Aluminum,International Non-Ferrous Metals,Delaware,2918 W 2nd St,Chester,610-494-0200,Aluminum Cans,,,,,
Aluminum,Mccuster & Ogborne,Delaware, 10 Reaney St, Chester,610-532-6300,Aluminum Cans,www.republicservices.com ,,,,
Antifreeze,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Appliances (with Freon),International Non-Ferrous Metals,Delaware,2918 W 2nd St,Chester,610-494-0200,White Goods,,,,,
Appliances (with Freon),Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,Appliances Containing Freon,https://www.ccrcyber.com/services/e-waste-management/,,,,
Appliances (No Freon),International Non-Ferrous Metals,Delaware,2918 W 2nd St,Chester,610-494-0200,White Goods,,,,,
Appliances (No Freon),Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,Appliances,https://www.ccrcyber.com/services/e-waste-management/,,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Corrugated Containers, Magazines, Mix Office Paper, Newspaper, Hardbound Books, White Ledger Paper, Boxboard",www.accuraterecycling.com ,,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),"Atlas Traders, LLC",Delaware, 3 Industrial Dr, Sharon Hill,1-800-727-2748,"Colored Ledger, Corrugated Containers, Computer Paper, White Ledger, ",,,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),Mccuster & Ogborne,Delaware, 10 Reaney St, Chester,610-532-6300,"Corrugated Containers, Mix Office Paper, Newspaper",www.republicservices.com ,,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),Recall Secure Destruction Services,Delaware, 1408 W Baltimore Pike, Media,610-558-2400,Mix and Sorted Office Paper,,,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),Waste Management,Delaware, 408 S Oak St, Primos,610-626-7500,"Corrugated Containers, Mix Office Paper ",www.wm.com,,,,
