Item,Location Name,County,Address,City,Phone,Details,Website,,
Air Conditioners,Liberty Iron and Metal Holdings LLC, Erie, 1515 East Ave, Erie,814-452-4549 ,White Goods,www.libertyiron.com ,,
Air Conditioners,Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,White Goods,www.lincolnrecycling.com,,
Aluminum,Amsource Incorporated, Erie, 1515 East Ave, Erie,814-453-6758,Aluminum Cans ,,,
Aluminum,Edward Verdecchia Co., Erie, 449 Vermont Ave, Erie,814-461-0941,Aluminum Cans ,,,
Aluminum,Jay's Auto Wrecking Inc., Erie, 11610 Hamilton Rd, Edinboro,814-734-4022 ,Aluminum Cans ,www.jaysauto.com,,
Aluminum,Liberty Iron and Metal Holdings LLC, Erie, 1515 East Ave, Erie,814-452-4549 ,Aluminum Cans ,www.libertyiron.com ,,
Aluminum,Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,Aluminum Cans ,www.lincolnrecycling.com,,
Antifreeze,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Appliances (with Freon),Liberty Iron and Metal Holdings LLC, Erie, 1515 East Ave, Erie,814-452-4549 ,White Goods,www.libertyiron.com ,,
Appliances (with Freon),Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,White Goods,www.lincolnrecycling.com,,
Appliances (No Freon),Liberty Iron and Metal Holdings LLC, Erie, 1515 East Ave, Erie,814-452-4549 ,White Goods,www.libertyiron.com ,,
Appliances (No Freon),Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,White Goods,www.lincolnrecycling.com,,
Automotive Parts & Liquids,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Ballast,ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"CFL Bulbs, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Batteries (Alkaline/Zinc Carbon),ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"All Batteries, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Batteries (Button Cell),ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"All Batteries, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Batteries (Lead Acid),Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,Auto Batteries ,www.lincolnrecycling.com,,
Batteries (Lead Acid),ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"All Batteries, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Batteries (Rechargable) ,ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"All Batteries, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Biohazardous Waste,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Bulbs,ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"CFL Bulbs, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Cardboard,EPI Recycling Solutions, Erie, 1367 W 12th St, Erie,814-453-7970,"Corrugated Containers, Office Paper",www.engineeredplastics.com,,
Cardboard,Erie Energy Products, Erie, 1400 Irwin Dr, Erie,814-454-2828,"Boxboard, Chipboard, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books",www.erieenergyproducts.com ,,
Cartons,Erie Energy Products, Erie, 1400 Irwin Dr, Erie,814-454-2828,"Boxboard, Chipboard, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books",www.erieenergyproducts.com ,,
Cell Phones,ERS LLC, Erie, 380 E Bayfront Parkway,Erie,1-800-842-9923,Cell Phones ,www.ERSUSA.com ,,
CFL Bulbs,ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"CFL Bulbs, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Computers,ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"All Electronics, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Cylinders,Amsource Incorporated, Erie, 1515 East Ave, Erie,814-453-6758,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",,,
Cylinders,Edward Verdecchia Co., Erie, 449 Vermont Ave, Erie,814-461-0941,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",,,
Cylinders,Jay's Auto Wrecking Inc., Erie, 11610 Hamilton Rd, Edinboro,814-734-4022 ,Ferrous Metal ,www.jaysauto.com,,
Cylinders,Liberty Iron and Metal Holdings LLC, Erie, 1515 East Ave, Erie,814-452-4549 ,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",www.libertyiron.com ,,
Cylinders,Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Nickel Alloys, Silver, Gold, Stainless Steel ",www.lincolnrecycling.com,,
Dehumidifier,Liberty Iron and Metal Holdings LLC, Erie, 1515 East Ave, Erie,814-452-4549 ,White Goods,www.libertyiron.com ,,
Dehumidifier,Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,White Goods,www.lincolnrecycling.com,,
Drugs,Check the DEA Website for Nearby Drop Off Sites , Erie,,,,,https://apps.ddap.pa.gov/GetHelpNow/PillDrop.aspx,,
Driveway Sealer,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Electronic Equiptment,ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"All Electronics, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Fluorescent Lights,ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"CFL Bulbs, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Foam,"Engineered Plastics, Inc.", Erie, 1040 Maple Ave, Lake City,814-774-2970,"HDPE, LDPE, PET, PP, PS, PVC, Boat Wrap, Campaign Election Signs, Plastic Shopping Bags ",www.engineeredplastics.com ,,
Foam,EPI Recycling Solutions, Erie, 1367 W 12th St, Erie,814-453-7970,"HDPE, LDPE, PET, PP, PS, PVC, Boat Wrap, Campaign Election Signs, Plastic Shopping Bags ",www.engineeredplastics.com,,
Foam,Foam Fabricators LTD, Erie, 6550 W Ridge Rd, Erie,814-838-4538,"PET, PS (Must be Clean, Not from Food Service Industry) ",WWW.FOAMFABRICATORSINC.COM ,,
Foam,"Insul Board, Inc.", Erie, 2120 Colonial Ave, Erie,814-833-7400,PS (Expanded Polystyrene) ,www.insulboard.com ,,
Freon,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Fuels/Solvents,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Hazardous Waste,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Helium Tanks,Amsource Incorporated, Erie, 1515 East Ave, Erie,814-453-6758,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",,,
Helium Tanks,Edward Verdecchia Co., Erie, 449 Vermont Ave, Erie,814-461-0941,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",,,
Helium Tanks,Jay's Auto Wrecking Inc., Erie, 11610 Hamilton Rd, Edinboro,814-734-4022 ,Ferrous Metal ,www.jaysauto.com,,
Helium Tanks,Liberty Iron and Metal Holdings LLC, Erie, 1515 East Ave, Erie,814-452-4549 ,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",www.libertyiron.com ,,
