Item,Location Name,County,Address,City,Phone,Details,Website,,,,
Air Conditioners,See Appliances,Fayette,,,,,,,,,
Aluminum,A & J Scrap,Fayette, 235 Water St, Brownsville,724-785-5572 ,Aluminum Cans ,,,,,
Aluminum,Goodwill Industries Recycling Station,Fayette, 105 Romeo Ln, Uniontown,Contact: Gary Gibson 724-437-9878,Aluminum Cans ,www.goodwillpit.org,,,,
Aluminum,"RT 51 Iron & Metals, LLC",Fayette, 907 Old RTE 51 Rd, Smock,724-677-2424,Aluminum Cans ,www.RT51metals.com ,,,,
Aluminum,Simyak Scrap Iron and Metal,Fayette, 131 Knob Rd, Brownsville,724-785-8822,Aluminum Cans ,,,,,
Aluminum,Toby Brothers Iron and Metals,Fayette, 186 Laurel Hill Rd, Dunbar,724-439-1660,Aluminum Cans ,,,,,
Ammunition,,Fayette,,,,,,,,,
Antifreeze,HHW,Fayette,,,,,,,,,
Appliances (with Freon),,Fayette,,,,,,,,,
Appliances (No Freon),,Fayette,,,,,,,,,
Art & Education Materials,Donate,Fayette,,,,,,,,,
Asbestos,HHW,Fayette,,,,,,,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),See Paper,Fayette,,,,,,,,,
"Asphalt, Brick, Concrete, Gravel, & Porcelain",See Construction/Demolition Materials,Fayette,,,,,,,,,
"Audio/Videotapes, CDs, DVDs, & Records",Donate,Fayette,,,,,,,,,
Automotive Parts & Liquids,HHW,Fayette,,,,,,,,,
Ballast,See Bulbs,Fayette,,,,,,,,,
Batteries (Alkaline/Zinc Carbon),,Fayette,,,,,,,,,
Batteries (Button Cell),,Fayette,,,,,,,,,
Batteries (Lead Acid),,Fayette,,,,,,,,,
Batteries (Rechargable) ,,Fayette,,,,,,,,,
Biohazardous Waste,HHW,Fayette,,,,,,,,,
Books,Donate or See Paper,Fayette,,,,,,,,,
Bricks,See Construction/Demolition Materials,Fayette,,,,,,,,,
Building Materials,See Construction/Demolition Materials,Fayette,,,,,,,,,
Bulbs,,Fayette,,,,,,,,,
Car/Vehicle Donations,,Fayette,,,,,,,,,
Car Seats,,Fayette,,,,,,,,,
Cardboard,See Paper,Fayette,,,,,,,,,
Carpet,,Fayette,,,,,,,,,
Cartons,See Paper,Fayette,,,,,,,,,
Cell Phones,See Electronics,Fayette,,,,,,,,,
Christmas Lights,,Fayette,,,,,,,,,
Christmas Trees,,Fayette,,,,,,,,,
Clothing/Textiles,Donate,Fayette,,,,,,,,,
CFL Bulbs,See Bulbs,Fayette,,,,,,,,,
Compost,,Fayette,,,,,,,,,
Computers,See Electronics,Fayette,,,,,,,,,
Concrete,See Construction/Demolition Materials,Fayette,,,,,,,,,
Construction/Demolition Materials,,Fayette,,,,,,,,,
Cooking Oil,,Fayette,,,,,,,,,
Cork,,Fayette,,,,,,,,,
Couches,,Fayette,,,,,,,,,
Cylinders,,Fayette,,,,,,,,,
Data Destruction,,Fayette,,,,,,,,,
Dehumidifier,See Appliances,Fayette,,,,,,,,,
Donations,,Fayette,,,,,,,,,
Drugs,Check the DEA Website for Nearby Drop Off Sites ,Fayette,,,,,https://apps.ddap.pa.gov/GetHelpNow/PillDrop.aspx,,,,
Driveway Sealer,HHW,Fayette,,,,,,,,,
Drywall,See Construction/Demolition Materials,Fayette,,,,,,,,,
Electronic Equiptment,Electronics Collection Programs are Arranged at the Fayette County Fairgrounds a Few Times Annually. Call the Fayette County Recycling Hotline for Details. ,Fayette,,,,,,,,,
Eyeglasses,,Fayette,,,,,,,,,
Filters,,Fayette,,,,,,,,,
Fire Extinguishers,,Fayette,,,,,,,,,
Fishing Lines,,Fayette,,,,,,,,,
