Item,Location Name,County,Address,City,Phone,Details,Website,Website,,,
Air Conditioners,Beecher's Auto Salvage,Franklin, 7287 Lincoln Way E, Fayetteville,717-352-2246,White Goods,,,,,
Air Conditioners,Mountain View Reclamation,Franklin, 9446 Letzburg Rd, Greencastle,717-261-3857,White Goods,www.wm.com ,,,,
Air Conditioners,St. Thomas Towing and Recycling,Franklin, 4571 Race Track Rd, Chambersburg,717-369-2207,White Goods,WWW.STTHOMASTOWING.COM ,,,,
Air Conditioners,Washington County Recycling Center,Franklin, 12725 Buchanan Trail E, Waynesboro,717-765-6577,White Goods,www.washtwp-franklin.org ,,,,
Aluminum,American Recycling Services,Franklin, 6200 Mt Zion Rd, Waynesboro,717-749-5751,Aluminum Cans ,,,,,
Aluminum,Beecher's Auto Salvage,Franklin, 7287 Lincoln Way E, Fayetteville,717-352-2246,Aluminum Cans ,,,,,
Aluminum,Chambersburg Waste Paper Company Inc.,Franklin, 2047 Loop Rd, Chambersburg,717-264-4890,Aluminum Cans ,www.cwprecycle.com ,,,,
Aluminum,Hostetter's Salvage & Recycling,Franklin, 12475 Locust Land, Shippensburg,717-532-6804,Aluminum Cans ,www.hostetterssalvage.com ,,,,
Aluminum,Mountain View Reclamation,Franklin, 9446 Letzburg Rd, Greencastle,717-261-3857,Aluminum Cans ,www.wm.com ,,,,
Aluminum,Newcomer's Auto & Truck Parts,Franklin, 6405 Nunnery Rd, Waynesboro,717-762-1532,Aluminum Cans ,www.newcomerstruckparts.com,,,,
Aluminum,St. Thomas Towing and Recycling,Franklin, 4571 Race Track Rd, Chambersburg,717-369-2207,Aluminum Cans ,WWW.STTHOMASTOWING.COM ,,,,
Aluminum,Washington County Recycling Center,Franklin, 12725 Buchanan Trail E, Waynesboro,717-765-6577,Aluminum Cans ,www.washtwp-franklin.org ,,,,
Appliances (with Freon),Beecher's Auto Salvage,Franklin, 7287 Lincoln Way E, Fayetteville,717-352-2246,White Goods,,,,,
Appliances (with Freon),Mountain View Reclamation,Franklin, 9446 Letzburg Rd, Greencastle,717-261-3857,White Goods,www.wm.com ,,,,
Appliances (with Freon),St. Thomas Towing and Recycling,Franklin, 4571 Race Track Rd, Chambersburg,717-369-2207,White Goods,WWW.STTHOMASTOWING.COM ,,,,
Appliances (with Freon),Washington County Recycling Center,Franklin, 12725 Buchanan Trail E, Waynesboro,717-765-6577,White Goods,www.washtwp-franklin.org ,,,,
Appliances (No Freon),Beecher's Auto Salvage,Franklin, 7287 Lincoln Way E, Fayetteville,717-352-2246,White Goods,,,,,
Appliances (No Freon),Mountain View Reclamation,Franklin, 9446 Letzburg Rd, Greencastle,717-261-3857,White Goods,www.wm.com ,,,,
Appliances (No Freon),St. Thomas Towing and Recycling,Franklin, 4571 Race Track Rd, Chambersburg,717-369-2207,White Goods,WWW.STTHOMASTOWING.COM ,,,,
Appliances (No Freon),Washington County Recycling Center,Franklin, 12725 Buchanan Trail E, Waynesboro,717-765-6577,White Goods,www.washtwp-franklin.org ,,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),Chambersburg Waste Paper Company Inc.,Franklin, 2047 Loop Rd, Chambersburg,717-264-4890,All Grades of Paper ,www.cwprecycle.com ,,,,
Batteries (Lead Acid),Beecher's Auto Salvage,Franklin, 7287 Lincoln Way E, Fayetteville,717-352-2246,Auto Batteries ,,,,,
Batteries (Lead Acid),Hostetter's Salvage & Recycling,Franklin, 12475 Locust Land, Shippensburg,717-532-6804,Lead Acid Batteries ,www.hostetterssalvage.com ,,,,
Batteries (Lead Acid),Newcomer's Auto & Truck Parts,Franklin, 6405 Nunnery Rd, Waynesboro,717-762-1532,Auto Batteries ,www.newcomerstruckparts.com,,,,
Batteries (Lead Acid),St. Thomas Towing and Recycling,Franklin, 4571 Race Track Rd, Chambersburg,717-369-2207,Auto Batteries ,WWW.STTHOMASTOWING.COM ,,,,
