Item,Location Name,County,Address,City,Phone,Details,Website,,
Air Conditioners,Fiegleman's Metal Supply,Lackawanna, 350 Morgan Hwy, Scranton,570-342-5242,White Goods,www.fieglemanrecycling.com ,,
Air Conditioners,Mike's Scrap Recycling,Lackawanna, 3001 Boulevard Ave, Scranton,570-346-8124,White Goods,http://mikesscraprecycling.com ,,
Aluminum,Fiegleman's Metal Supply,Lackawanna, 350 Morgan Hwy, Scranton,570-342-5242,Aluminum Cans ,www.fieglemanrecycling.com ,,
Aluminum,Harry Letzic Co. Inc.,Lackawanna, 1 Fallbrook St, Carbondale,570-282-2092,Aluminum Cans ,,,
Aluminum,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,Aluminum Cans ,http://recycling.lackawannacounty.org ,,
Aluminum,Mike's Scrap Recycling,Lackawanna, 3001 Boulevard Ave, Scranton,570-346-8124,Aluminum Cans ,http://mikesscraprecycling.com ,,
Aluminum,Waste Management,Lackawanna, 13 Peggy Pkwy, Dunmore,570-344-7812,Aluminum Cans ,www.wm.com ,,
Appliances (with Freon),Fiegleman's Metal Supply,Lackawanna, 350 Morgan Hwy, Scranton,570-342-5242,White Goods,www.fieglemanrecycling.com ,,
Appliances (with Freon),Mike's Scrap Recycling,Lackawanna, 3001 Boulevard Ave, Scranton,570-346-8124,White Goods,http://mikesscraprecycling.com ,,
Appliances (No Freon),Fiegleman's Metal Supply,Lackawanna, 350 Morgan Hwy, Scranton,570-342-5242,White Goods ,www.fieglemanrecycling.com ,,
Appliances (No Freon),Mike's Scrap Recycling,Lackawanna, 3001 Boulevard Ave, Scranton,570-346-8124,White Goods,http://mikesscraprecycling.com ,,
Batteries (Lead Acid),Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,Auto Batteries ,www.anthraciteauto.net ,,
Batteries (Lead Acid),DMS Shredding Inc.,Lackawanna, 1212 Wheeler Ave, Dunmore,570-819-3339,Auto Batteries ,www.dmsshreddinginc.com ,,
Cardboard,A.L.S. Services Inc.,Lackawanna, 1115 Midway Dr, Olyphant,570-383-9500,"Chipboard, Sorted Office Paper ",,,
Cardboard,Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,,www.anthraciteauto.net ,,
Cardboard,"Diamond K, Inc.",Lackawanna, 900 Battle St, Scranton,570-346-4684,"Corrugated Containers, Cardboard Cores, Magazines, Newspapers, Books, Catalogs, Phone Books, Office Paper",www.diamondkinc.com,,
Cardboard,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,"Brown Bags and Sacks, Magazines, Office Paper, Newspaper, Phone Books ",http://recycling.lackawannacounty.org ,,
Cardboard,Waste Management,Lackawanna, 13 Peggy Pkwy, Dunmore,570-344-7812,"Corrugated Containers, Office Paper, Newspaper",www.wm.com ,,
Cartons,A.L.S. Services Inc.,Lackawanna, 1115 Midway Dr, Olyphant,570-383-9500,"Chipboard, Sorted Office Paper ",,,
Cartons,Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,,www.anthraciteauto.net ,,
Cartons,"Diamond K, Inc.",Lackawanna, 900 Battle St, Scranton,570-346-4684,"Corrugated Containers, Cardboard Cores, Magazines, Newspapers, Books, Catalogs, Phone Books, Office Paper",www.diamondkinc.com,,
Cartons,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,"Brown Bags and Sacks, Magazines, Office Paper, Newspaper, Phone Books ",http://recycling.lackawannacounty.org ,,
Cartons,Waste Management,Lackawanna, 13 Peggy Pkwy, Dunmore,570-344-7812,"Corrugated Containers, Office Paper, Newspaper",www.wm.com ,,
Cell Phones,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,,http://www.lackawannacounty.org/portal/recycling/hardtorecycle.html,,
Clothing/Textiles,"Scranton Textile Recycling, Inc.",Lackawanna, 2000 Rosanna Ave, Scranton,570-342-9133,"Clothing, Rags, Textiles ",,,
Computers,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,Ext #5 $1/lb fee,http://www.lackawannacounty.org/portal/recycling/hardtorecycle.html,,
Construction/Demolition Materials,A.L.S. Services Inc.,Lackawanna, 1115 Midway Dr, Olyphant,570-383-9500,Pallets,,,
Construction/Demolition Materials,Celtic Trading Co.,Lackawanna, 206 E Grant St, Mcadoo,570-929-1434,Pallets ,,,
Construction/Demolition Materials,J & J Pallet Co.,Lackawanna, 1000 Marshwood Rd, Throop,570-489-7705,Pallets,www.jandjpallet.com ,,
Cylinders,Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,"Aluminum Scrap, Stainless Steel ",www.anthraciteauto.net ,,
Cylinders,Archbald Wrecking Co.,Lackawanna, 90 Main St, Archbald,570-876-1180,"Ferrous Metal, Stainless Steel ",,,
Cylinders,Booth & Sons Scrap Yard Inc.,Lackawanna, 125 Railroad St, Moosic,570-961-5883,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal ",,,
Cylinders,DMS Shredding Inc.,Lackawanna, 1212 Wheeler Ave, Dunmore,570-819-3339,"Ferrous Metal, Lead, Non-Ferrous Metal ",www.dmsshreddinginc.com ,,
Cylinders,Fiegleman's Metal Supply,Lackawanna, 350 Morgan Hwy, Scranton,570-342-5242,"Aluminum Scrap, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",www.fieglemanrecycling.com ,,
Cylinders,Harry Letzic Co. Inc.,Lackawanna, 1 Fallbrook St, Carbondale,570-282-2092,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",,,
Cylinders,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,Steel and Tin Cans ,http://recycling.lackawannacounty.org ,,
Cylinders,Mike's Scrap Recycling,Lackawanna, 3001 Boulevard Ave, Scranton,570-346-8124,"Aluminum Scrap, Ferrous Metal, Brass, Copper, Stainless Steel ",http://mikesscraprecycling.com ,,
Cylinders,Upstate Shredding,Lackawanna, 1500 N Keyser Ave, Scranton,570-342-7444,"Ferrous Metal, Non-Ferrous Metal ",www.upstateshredding.com ,,
Cylinders,Waste Management,Lackawanna, 13 Peggy Pkwy, Dunmore,570-344-7812,"Aluminum Scrap, Steel Cans ",www.wm.com ,,
Dehumidifier,Fiegleman's Metal Supply,Lackawanna, 350 Morgan Hwy, Scranton,570-342-5242,White Goods,www.fieglemanrecycling.com ,,
Dehumidifier,Mike's Scrap Recycling,Lackawanna, 3001 Boulevard Ave, Scranton,570-346-8124,White Goods,http://mikesscraprecycling.com ,,
Drugs,Check the DEA Website for Nearby Drop Off Sites ,Lackawanna,,,,,https://apps.ddap.pa.gov/GetHelpNow/PillDrop.aspx,,
Electronic Equiptment,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,Ext #5 $1/lb fee,http://www.lackawannacounty.org/portal/recycling/hardtorecycle.html,,
Foam,A.L.S. Services Inc.,Lackawanna, 1115 Midway Dr, Olyphant,570-383-9500,"HDPE, PET, Plastic Film, Polycarbonate, Vinyl, PP, PS, PVC",,,
Foam,Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,"Plastic Film, Plastic Bags, PP Strapping, PS",www.anthraciteauto.net ,,
Glass,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,"Brown, Clear, and Green ",http://recycling.lackawannacounty.org ,,
Helium Tanks,Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,"Aluminum Scrap, Stainless Steel ",www.anthraciteauto.net ,,
Helium Tanks,Archbald Wrecking Co.,Lackawanna, 90 Main St, Archbald,570-876-1180,"Ferrous Metal, Stainless Steel ",,,
Helium Tanks,Booth & Sons Scrap Yard Inc.,Lackawanna, 125 Railroad St, Moosic,570-961-5883,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal ",,,
Helium Tanks,DMS Shredding Inc.,Lackawanna, 1212 Wheeler Ave, Dunmore,570-819-3339,"Ferrous Metal, Lead, Non-Ferrous Metal ",www.dmsshreddinginc.com ,,
Helium Tanks,Fiegleman's Metal Supply,Lackawanna, 350 Morgan Hwy, Scranton,570-342-5242,"Aluminum Scrap, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",www.fieglemanrecycling.com ,,
Helium Tanks,Harry Letzic Co. Inc.,Lackawanna, 1 Fallbrook St, Carbondale,570-282-2092,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",,,
Helium Tanks,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,Steel and Tin Cans ,http://recycling.lackawannacounty.org ,,
Helium Tanks,Mike's Scrap Recycling,Lackawanna, 3001 Boulevard Ave, Scranton,570-346-8124,"Aluminum Scrap, Ferrous Metal, Brass, Copper, Stainless Steel ",http://mikesscraprecycling.com ,,
Helium Tanks,Upstate Shredding,Lackawanna, 1500 N Keyser Ave, Scranton,570-342-7444,"Ferrous Metal, Non-Ferrous Metal ",www.upstateshredding.com ,,
Helium Tanks,Waste Management,Lackawanna, 13 Peggy Pkwy, Dunmore,570-344-7812,"Aluminum Scrap, Steel Cans ",www.wm.com ,,
Humidifier,Fiegleman's Metal Supply,Lackawanna, 350 Morgan Hwy, Scranton,570-342-5242,White Goods,www.fieglemanrecycling.com ,,
Humidifier,Mike's Scrap Recycling,Lackawanna, 3001 Boulevard Ave, Scranton,570-346-8124,White Goods,http://mikesscraprecycling.com ,,
Microwaves,Fiegleman's Metal Supply,Lackawanna, 350 Morgan Hwy, Scranton,570-342-5242,White Goods,www.fieglemanrecycling.com ,,
Microwaves,Mike's Scrap Recycling,Lackawanna, 3001 Boulevard Ave, Scranton,570-346-8124,White Goods,http://mikesscraprecycling.com ,,
Mobile Phones,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,,,,
Packaging Peanuts,A.L.S. Services Inc.,Lackawanna, 1115 Midway Dr, Olyphant,570-383-9500,"HDPE, PET, Plastic Film, Polycarbonate, Vinyl, PP, PS, PVC",,,
Packaging Peanuts,Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,"Plastic Film, Plastic Bags, PP Strapping, PS",www.anthraciteauto.net ,,
Paper,A.L.S. Services Inc.,Lackawanna, 1115 Midway Dr, Olyphant,570-383-9500,"Chipboard, Sorted Office Paper ",,,
Paper,Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,,www.anthraciteauto.net ,,
Paper,"Diamond K, Inc.",Lackawanna, 900 Battle St, Scranton,570-346-4684,"Corrugated Containers, Cardboard Cores, Magazines, Newspapers, Books, Catalogs, Phone Books, Office Paper",www.diamondkinc.com,,
Paper,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,"Brown Bags and Sacks, Magazines, Office Paper, Newspaper, Phone Books ",http://recycling.lackawannacounty.org ,,
Paper,Waste Management,Lackawanna, 13 Peggy Pkwy, Dunmore,570-344-7812,"Corrugated Containers, Office Paper, Newspaper",www.wm.com ,,
