Item,Location Name,County,Street,City ,Phone Number,Fees/Specifics,Website
Air Conditioners,"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,White Goods,www.ascarriers.com
Air Conditioners,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,White Goods,www.beartownrecycling.com
Air Conditioners,Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,White Goods,www.fullcirclerecyclingpa.com
Air Conditioners,Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,White Goods,www.fullcirclerecyclingpa.com
Air Conditioners,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,White Goods,www.goodsdisposalservice.com
Air Conditioners,"James Groff & Son, Inc.",Lancaster, 17 N Hess St, Quarryville,717-786-3571,White Goods,www.jamesgroff.com
Air Conditioners,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,White Goods,www.lcswma.org
Air Conditioners,Rubin Steel Company,Lancaster, 1430 Fruitville Pike, Lancaster,717-299-3682,White Goods,www.rubinsteel.com
Aluminum,"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,Aluminum Cans ,www.ascarriers.com
Aluminum,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,Aluminum Cans ,www.beartownrecycling.com
Aluminum,Ephrata Recycling,Lancaster, 339 E Fulton St, Ephrata,717-733-9300,Aluminum Cans ,ephratarecyclingpa.com
Aluminum,Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,Aluminum Cans ,www.fullcirclerecyclingpa.com
Aluminum,Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,Aluminum Cans ,www.fullcirclerecyclingpa.com
Aluminum,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,Aluminum Cans ,www.goodsdisposalservice.com
Aluminum,"Gordon Waste Company, Inc.",Lancaster, 199 Bridge St, Columbia,1-888-684-2201,Aluminum Cans ,www.gordonwaste.com
Aluminum,"James Groff & Son, Inc.",Lancaster, 17 N Hess St, Quarryville,717-786-3571,Aluminum Cans ,www.jamesgroff.com
Aluminum,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,Aluminum Cans ,www.lcswma.org
Aluminum,Lancaster Salvage Co.,Lancaster, 1058 N Plum St, Lancaster,717-393-6129,Aluminum Cans ,
Aluminum,"Pequea Home Salvage, LLC",Lancaster, 360 Radcliff Rd, Willow Street,717-464-4461,Aluminum Cans ,
Aluminum,Rubin Steel Company,Lancaster, 1430 Fruitville Pike, Lancaster,717-299-3682,Aluminum Cans ,www.rubinsteel.com
Aluminum,Sahd Metal Recycling,Lancaster, 1045 Lancaster Ave, Columbia,717-684-8506,Aluminum Cans ,http://recycleyourmetal.com
Antifreeze,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Appliances (with Freon),"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,White Goods,www.ascarriers.com
Appliances (with Freon),"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,White Goods,www.beartownrecycling.com
Appliances (with Freon),Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,White Goods,www.fullcirclerecyclingpa.com
Appliances (with Freon),Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,White Goods,www.fullcirclerecyclingpa.com
Appliances (with Freon),"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,White Goods,www.goodsdisposalservice.com
Appliances (with Freon),"James Groff & Son, Inc.",Lancaster, 17 N Hess St, Quarryville,717-786-3571,White Goods,www.jamesgroff.com
Appliances (with Freon),Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,White Goods,www.lcswma.org
Appliances (with Freon),Rubin Steel Company,Lancaster, 1430 Fruitville Pike, Lancaster,717-299-3682,White Goods,www.rubinsteel.com
Appliances (No Freon),"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,White Goods,www.ascarriers.com
Appliances (No Freon),"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,White Goods,www.beartownrecycling.com
Appliances (No Freon),Ephrata Recycling,Lancaster, 339 E Fulton St, Ephrata,717-733-9300,White Goods (No Freon),ephratarecyclingpa.com
Appliances (No Freon),Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,White Goods ,www.fullcirclerecyclingpa.com
