Item,Location Name,County,Address,City,Phone,Details,Website,
Air Conditioners,"E. Schneider & Sons, Inc.",Lehigh, 616 Summer Ave, Allentown,610-435-3527,White Goods,www.eschneiderscrap.com ,
Air Conditioners,GER Solutions ,Lehigh, 795 Roble Road,Allentown,610-443-1776,"Small Dorm Refrigerators, Air Conditioners, Dehumidifiers, Ice Makers",http://www.gersolutions.net/items/,
Aluminum,Allentown Recycling Center,Lehigh, 1400 Martin Luther King Jr Dr, Allentown,610-437-8729,Aluminum Cans ,www.allentownrecyclers.org ,
Aluminum,"Buckman Iron & Metal, Inc.",Lehigh, 3980 Portland St, Coplay,610-261-2300,Aluminum Cans ,www.buckmanironmetal.com ,
Aluminum,Catasauqua Scrap Yard,Lehigh, 16 W Race St, Catasauqua,610-264-7541,Aluminum Cans ,www.catasauquascrapyard.com ,
Aluminum,"E. Schneider & Sons, Inc.",Lehigh, 616 Summer Ave, Allentown,610-435-3527,Aluminum Cans ,www.eschneiderscrap.com ,
Aluminum,"Liberty Recycling, Inc.",Lehigh, 526 N 3rd St, Allentown,610-433-0129,Aluminum Cans ,www.libertyrecycling.com ,
Aluminum,SAAB Metals Corporation,Lehigh, 2002 S 12th St, Allentown,610-797-0900,Aluminum Cans ,,
Aluminum,Sacks Scrap Yard,Lehigh, 10th & Woods St, Catasauqua,484-264-0852,Aluminum Cans ,,
Aluminum,United Compressed Steel,Lehigh, 802 N 13th St, Allentown,610-434-9012,Aluminum Cans ,,
Antifreeze,JW Environmental Inc.,Lehigh,2535 Grove St,Allentown,610-782-9115,Private Contractor,http://jwenvironmental.com/home/2730633,
Appliances (with Freon),"E. Schneider & Sons, Inc.",Lehigh, 616 Summer Ave, Allentown,610-435-3527,White Goods,www.eschneiderscrap.com ,
Appliances (with Freon),GER Solutions ,Lehigh, 795 Roble Road, Allentown,610-443-1776,"Small Dorm Refrigerators, Air Conditioners, Dehumidifiers, Ice Makers",http://www.gersolutions.net/items/,
Appliances (No Freon),"E. Schneider & Sons, Inc.",Lehigh, 616 Summer Ave, Allentown,610-435-3527,White Goods,www.eschneiderscrap.com ,
Appliances (No Freon),GER Solutions ,Lehigh, 795 Roble Road, Allentown,610-443-1776,"Microwaves, Toasters, Coffee Makers, Dishwashers, Stoves, Humidifiers, Small home appliances, Water Coolers",http://www.gersolutions.net/items/,
Asbestos,JW Environmental Inc.,Lehigh,2535 Grove St,Allentown,610-782-9115,Private Contractor,http://jwenvironmental.com/home/2730633,
Aseptic Packaging (Drink Boxes/Milk Cartons),Allentown Recycling Center,Lehigh, 1400 Martin Luther King Jr Dr, Allentown,610-437-8729,"Brown Bags and Sacks, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books, White Ledger",www.allentownrecyclers.org ,
Aseptic Packaging (Drink Boxes/Milk Cartons),Good Shepherd Work Services Recycling,Lehigh, 1901 Lehigh St, Allentown,610-776-8350,Newspapers ,,
Aseptic Packaging (Drink Boxes/Milk Cartons),Lehigh Valley Recycling,Lehigh, 3947 Portland St, Coplay,610-261-9139,"Corrugated Containers, Office Paper, Newspaper ",www.jpmascaro.com ,
Aseptic Packaging (Drink Boxes/Milk Cartons),"Liberty Recycling, Inc.",Lehigh, 526 N 3rd St, Allentown,610-433-0129,"Corrugated Containers, Newspaper, White Ledger",www.libertyrecycling.com ,
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Huckleberry Associates,Lehigh, 4359 Huckleberry Rd, Allentown,610-398-8666,"Asphalt, Concrete, Block",www.hkgroup.com ,
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Total Recycling Corp.,Lehigh, 1820 N Dauphin St, Allentown,610-266-0907,"Uncontaminated Brick, Block, Concrete, and Asphalt ",http://totalrecyclingpa.com ,
Automotive Parts & Liquids,JW Environmental Inc.,Lehigh,2535 Grove St,Allentown,610-782-9115,Private Contractor,http://jwenvironmental.com/home/2730633,
Ballast,GER Solutions ,Lehigh, 795 Roble Road,Allentown,610-443-1776,Non  Polychlorinated Biphenyls (PCB) Ballasts,http://www.gersolutions.net/items/,
Batteries (Alkaline/Zinc Carbon),AERC Recycling Solutions,Lehigh, 2591 Mitchell Ave, Allentown,610-797-7608,All Types of Household Batteries ,www.AERC.com ,
Batteries (Alkaline/Zinc Carbon),GER Solutions ,Lehigh, 795 Roble Road,Allentown,610-443-1776,"Nicad, Nickel Metal Hydride, Alkaline, Carbon Zinc, Lithium, Lead Acid�",http://www.gersolutions.net/items/,
Batteries (Button Cell),AERC Recycling Solutions,Lehigh, 2591 Mitchell Ave, Allentown,610-797-7608,All Types of Household Batteries ,www.AERC.com ,
Batteries (Button Cell),GER Solutions ,Lehigh, 795 Roble Road,Allentown,610-443-1776,"Nicad, Nickel Metal Hydride, Alkaline, Carbon Zinc, Lithium, Lead Acid�",http://www.gersolutions.net/items/,
Batteries (Lead Acid),AERC Recycling Solutions,Lehigh, 2591 Mitchell Ave, Allentown,610-797-7608,All Types of Household Batteries ,www.AERC.com ,
Batteries (Lead Acid),Benson Metal Warehouse,Lehigh, 2000 Minnich Rd, Allentown,610-268-5629,Auto Batteries ,www.southwhitehallsalvage.com ,
Batteries (Lead Acid),"Buckman Iron & Metal, Inc.",Lehigh, 3980 Portland St, Coplay,610-261-2300,Auto Batteries ,www.buckmanironmetal.com ,
Batteries (Rechargable) ,AERC Recycling Solutions,Lehigh, 2591 Mitchell Ave, Allentown,610-797-7608,All Types of Household Batteries ,www.AERC.com ,
Biohazardous Waste,JW Environmental Inc.,Lehigh,2535 Grove St,Allentown,610-782-9115,Private Contractor,http://jwenvironmental.com/home/2730633,
Bricks,Huckleberry Associates,Lehigh, 4359 Huckleberry Rd, Allentown,610-398-8666,"Asphalt, Concrete, Block",www.hkgroup.com ,
Bricks,Total Recycling Corp.,Lehigh, 1820 N Dauphin St, Allentown,610-266-0907,"Uncontaminated Brick, Block, Concrete, and Asphalt ",http://totalrecyclingpa.com ,
Building Materials,Huckleberry Associates,Lehigh, 4359 Huckleberry Rd, Allentown,610-398-8666,"Asphalt, Concrete, Block",www.hkgroup.com ,
Building Materials,Total Recycling Corp.,Lehigh, 1820 N Dauphin St, Allentown,610-266-0907,"Uncontaminated Brick, Block, Concrete, and Asphalt ",http://totalrecyclingpa.com ,
Bulbs,GER Solutions ,Lehigh, 795 Roble Road,Allentown,610-443-1776,"Straight Florescent Bulbs (4 ft only), 4_ Shattered Shields, U-Tube, Circle Lamps, Compact Bulbs/Biaxial, Incandescents/Halogen Quartz, Metal Halide light bulbs, Projector bulbs, Non-PCB Ballast",http://www.gersolutions.net/items/,
Cardboard,Allentown Recycling Center,Lehigh, 1400 Martin Luther King Jr Dr, Allentown,610-437-8729,"Brown Bags and Sacks, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books, White Ledger",www.allentownrecyclers.org ,
Cardboard,Good Shepherd Work Services Recycling,Lehigh, 1901 Lehigh St, Allentown,610-776-8350,Newspapers ,,
Cardboard,Lehigh Valley Recycling,Lehigh, 3947 Portland St, Coplay,610-261-9139,"Corrugated Containers, Office Paper, Newspaper ",www.jpmascaro.com ,
Cardboard,"Liberty Recycling, Inc.",Lehigh, 526 N 3rd St, Allentown,610-433-0129,"Corrugated Containers, Newspaper, White Ledger",www.libertyrecycling.com ,
