Item,Location Name,County,Address,City,Phone,Details,Website,
Air Conditioners,Abe N Solomon Inc.,Luzerne, 701 S Main St, Wilkes Barre,570-822-5182,White Goods (No Fridge or A/C),,
Air Conditioners,Bielecki's Scrap and Recycling,Luzerne, 640 N Pennsylvania Ave, Wilkes Barre,570-822-2002,White Goods (No Fridge or A/C),,
Air Conditioners,Brenner Recycling,Luzerne, 282 S Wyoming St, Hazleton,570-454-8706,White Goods ,www.brennerrecycling.com ,
Air Conditioners,"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,White Goods,www.concordplasticsinc.com ,
Air Conditioners,DMS Shredding Inc.,Luzerne, Rear 9 Fellows Ave, Hanover Twp,570-819-3339,White Goods,http://dmsshreddinginc.com ,
Air Conditioners,George Orval Sr. Scrap Iron,Luzerne, RD #2 Hunlock Gardens Hunlock Creek, PA ,570-735-7455,White Goods,,
Air Conditioners,"Hazleton Scrap Recycling, Inc.",Luzerne, Hazleton McAdoo Hwy, Hazleton,570-454-4442,White Goods,,
Air Conditioners,J L Used Auto Parts Inc.,Luzerne, Rear 658 E Main St, Larksville,570-779-5101,White Goods,www.jlusedautoparts.com ,
Air Conditioners,James Tabit & Sons Scrap Metal & Auto Parts,Luzerne, 1151 Washington Ave, Plymouth,570-779-5344,White Goods,http://jamestabitandsons.com ,
Air Conditioners,"Louis Cohen & Son, Inc.",Luzerne, 9 Fellows Ave, Wilkes Barre,570-823-0113,White Goods,,
Aluminum,Abe N Solomon Inc.,Luzerne, 701 S Main St, Wilkes Barre,570-822-5182,Aluminum Cans ,,
Aluminum,Allan Industries,Luzerne, Allan Rd & RTE 309, Wilkes Barre,570-826-0123,Aluminum Cans ,www.allanrecyclers.com ,
Aluminum,Bielecki's Scrap and Recycling,Luzerne, 640 N Pennsylvania Ave, Wilkes Barre,570-822-2002,Aluminum Cans ,,
Aluminum,Brenner Recycling,Luzerne, 282 S Wyoming St, Hazleton,570-454-8706,Aluminum Cans ,www.brennerrecycling.com ,
Aluminum,"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,Aluminum Cans ,www.concordplasticsinc.com ,
Aluminum,DMS Shredding Inc.,Luzerne, Rear 9 Fellows Ave, Hanover Twp,570-819-3339,Aluminum Cans ,http://dmsshreddinginc.com ,
Aluminum,George Orval Sr. Scrap Iron,Luzerne, RD #2 Hunlock Gardens Hunlock Creek, PA ,570-735-7455,Aluminum Cans ,,
Aluminum,"Hazleton Scrap Recycling, Inc.",Luzerne, Hazleton McAdoo Hwy, Hazleton,570-454-4442,Aluminum Cans ,,
Aluminum,J L Used Auto Parts Inc.,Luzerne, Rear 658 E Main St, Larksville,570-779-5101,Aluminum Cans ,www.jlusedautoparts.com ,
Aluminum,"J. P. Mascaro & Sons, Inc.",Luzerne, 871 E Main St, Nanticoke,570-735-0664,Aluminum Cans ,www.jpmascaro.com ,
Aluminum,James Tabit & Sons Scrap Metal & Auto Parts,Luzerne, 1151 Washington Ave, Plymouth,570-779-5344,Aluminum Cans ,http://jamestabitandsons.com ,
Aluminum,"Louis Cohen & Son, Inc.",Luzerne, 9 Fellows Ave, Wilkes Barre,570-823-0113,Aluminum Cans ,,
Aluminum,"Municipal Recovery, Inc.",Luzerne, 495 Stanton St, Wilkes Barre,570-829-3231,Aluminum Cans ,www.solomoncontainer.com ,
Aluminum,Northeast Cartage and Recycling Solutions,Luzerne, 50 Breaker Rd, Hanover Twp,570-270-0301,Aluminum Cans ,www.northeastcartage.com ,
Aluminum,"TNT Auto Recycling, Inc.",Luzerne, 7601 Blue Ridge Trail, Wapwallopen,570-868-4030,Aluminum Cans ,,
Aluminum,"Waste Reduction, Recycling, & Transfer, Inc.",Luzerne, 2100 Sans Souci Pkwy, Wilkes Barre,570-825-3522,Aluminum Cans ,www.nepawaste.com,
Appliances (with Freon),Abe N Solomon Inc.,Luzerne, 701 S Main St, Wilkes Barre,570-822-5182,White Goods (No Fridge or A/C),,
