Item,Location Name,County,Address,City,Phone,Details,Website,,,,
Air Conditioners,Shenango Valley Recycling,Mercer, 329 Dock St, Sharon,724-342-1030,White Goods,www.METALICO.COM,,,,
Aluminum,"Hadley Recycling, Inc.",Mercer, 1093 Fredonia Rd, Hadley,724-253-2969,Aluminum Cans,www.metalico.com ,,,,
Aluminum,Mercer Auto Wrecker,Mercer, 748 Wilson Ave, Mercer,724-662-3440,Aluminum Cans,,,,,
Aluminum,Shenango Valley Recycling,Mercer, 329 Dock St, Sharon,724-342-1030,Aluminum Cans,www.METALICO.COM,,,,
Antifreeze,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Appliances (with Freon),Shenango Valley Recycling,Mercer, 329 Dock St, Sharon,724-342-1030,White Goods,www.METALICO.COM,,,,
Appliances (No Freon),Shenango Valley Recycling,Mercer, 329 Dock St, Sharon,724-342-1030,White Goods,www.METALICO.COM,,,,
Asbestos,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Automotive Parts & Liquids,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Batteries (Lead Acid),Battery Warehouse Plus Grove City,Mercer, 606 W Main St, Grove City,724-458-1655,Lead Acid Auto Batteries,www.batterywarehouseplus.com ,,,,
Biohazardous Waste,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Cell Phones,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Computers,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Dehumidifier,Shenango Valley Recycling,Mercer, 329 Dock St, Sharon,724-342-1030,White Goods,www.METALICO.COM,,,,
