Item,Location Name,County,Address,City,Phone,Details,Website,Website,,,
Air Conditioners,Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,White Goods,www.chestnuthilltwp-pa.gov ,,,,
Aluminum,Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,Aluminum Cans,www.chestnuthilltwp-pa.gov ,,,,
Aluminum,J.F.R. Salvage Inc.,Monroe, 860 Crowe Rd, East Stroudsburg,484-553-7008,Aluminum Cans,http://www.JFRSalvage.com ,,,,
Aluminum,Polk Township Recycling,Monroe, 165 Polk Township Rd, Kresgeville,610-681-5376,Aluminum Cans,,,,,
Aluminum,Twin Boroughs,Monroe, 365 Lincoln Ave, East Stroudsburg,570-424-5170,Aluminum Cans and Foil,,,,,
Antifreeze,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Appliances (with Freon),Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,White Goods,www.chestnuthilltwp-pa.gov ,,,,
Appliances (No Freon),Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,White Goods,www.chestnuthilltwp-pa.gov ,,,,
Asbestos,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Automotive Parts & Liquids,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Batteries (Lead Acid),Battery Warehouse Inc. East Stroudsburg,Monroe, 511 Independence Rd, East Stroudsburg,570-424-2288,Auto Batteries,www.batterywarehouseinc.com,,,,
Batteries (Lead Acid),J.F.R. Salvage Inc.,Monroe, 860 Crowe Rd, East Stroudsburg,484-553-7008,Auto Batteries,http://www.JFRSalvage.com ,,,,
Batteries (Rechargable) ,Battery Warehouse Inc. East Stroudsburg,Monroe, 511 Independence Rd, East Stroudsburg,570-424-2288,Rechargable Batteries,www.batterywarehouseinc.com,,,,
Biohazardous Waste,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Cardboard,Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,"Corrugated Containers, Magazines, Newspapers, Catalogs, Books, Junk Mail, Office Paper",www.chestnuthilltwp-pa.gov ,,,,
Cardboard,Recycle Logistics,Monroe, 2213 Shafer Rd, Stroudsburg,570-629-2583,"Corrugated Containers, Newspapers ",,,,,
Cardboard,Twin Boroughs,Monroe, 365 Lincoln Ave, East Stroudsburg,570-424-5170,"Corrugated Containers, Newspapers ",,,,,
Cardboard,WestRock,Monroe, Paper Mill Rd, Delaware Water Gap,570-476-0120,"Corrugated Containers, Newspapers, White Ledger Paper",WWW.WestRock.com ,,,,
Cell Phones,Monroe County Municipal Waste Authority  The New Ventures Facility ,Monroe,Lot 6 Rt. 115,Blakeslee,570-643-6100,"Free of charge, Proof of residency required ",http://thewasteauthority.com/electronic-recycling-program/,,,,
Computers,Monroe County Municipal Waste Authority  The New Ventures Facility ,Monroe,Lot 6 Rt. 115,Blakeslee,570-643-6100,"Free of charge, Proof of residency required ",http://thewasteauthority.com/electronic-recycling-program/,,,,
Dehumidifier,Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,White Goods,www.chestnuthilltwp-pa.gov ,,,,
Drugs,Check the DEA Website for Nearby Drop Off Sites ,Monroe,,,,,https://apps.ddap.pa.gov/GetHelpNow/PillDrop.aspx,,,,
Driveway Sealer,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Electronic Equiptment,Monroe County Municipal Waste Authority  The New Ventures Facility ,Monroe,Lot 6 Rt. 115,Blakeslee,570-643-6100,"Free of charge, Proof of residency required ",http://thewasteauthority.com/electronic-recycling-program/,,,,
Freon,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Fuels/Solvents,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Glass,Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,"Brown, Clear, and Green ",www.chestnuthilltwp-pa.gov ,,,,
Glass,Polk Township Recycling,Monroe, 165 Polk Township Rd, Kresgeville,610-681-5376,"Brown, Clear, and Green ",,,,,
Glass,Twin Boroughs,Monroe, 365 Lincoln Ave, East Stroudsburg,570-424-5170,"Brown, Clear, and Green ",,,,,
Hazardous Waste,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Helium Tanks,J.F.R. Salvage Inc.,Monroe, 860 Crowe Rd, East Stroudsburg,484-553-7008,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",http://www.JFRSalvage.com ,,,,
Helium Tanks,Polk Township Recycling,Monroe, 165 Polk Township Rd, Kresgeville,610-681-5376,"Tin Foil, Scrap Iron, Tin Cans, Steel Cans ",,,,,
Humidifier,Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,White Goods,www.chestnuthilltwp-pa.gov ,,,,
Ink Cartridges,"Roth & Son Recycling, Inc.",Monroe, RR 1 Box 211B, Canadensis,570-595-9573,Ink Jet and Laser Jet Cartridges,http://rothandsonintl.tripod.com ,,,,
