Item,Location Name,County,Address,City,Phone,Details,Website,
Air Conditioners,"A.J. Catagnus, Inc.",Montgomery, 1299 W James St, Norristown,610-277-2727,White Goods,www.ajcatagnus.com ,
Air Conditioners,Emert Recycling,Montgomery, 2700 Richmond Rd, Hatfield,215-855-7690,White Goods,www.emertrecycling.com ,
Air Conditioners,"Joe Mattero Recycling, Inc.",Montgomery, 316 W 7th St, Lansdale,215-885-4808,White Goods,www.joematterorecycling.com,
Air Conditioners,"John Miller & Son, Inc. Recycling",Montgomery, 147 Oreland Mill Rd, Oreland,215-885-8199,White Goods,www.johnmillersoninc.com ,
Air Conditioners,Ridge Metals Company,Montgomery, 407 Alan Wood Rd, Conshohocken,610-828-5553,White Goods,www.ridgemetals.com ,
Aluminum,611 Metals Recycling,Montgomery, 2509 Wyandotte Rd, Willow Grove,267-221-6924,Aluminum Cans ,www.611metals.com ,
Aluminum,"A.J. Catagnus, Inc.",Montgomery, 1299 W James St, Norristown,610-277-2727,Aluminum Cans ,www.ajcatagnus.com ,
Aluminum,Allied Waste Recyclery,Montgomery, 215 W Dekalb Pike,King of Prussia,610-265-8941,Aluminum Cans , www.republicservices.com ,
Aluminum,Great Valley Recycling,Montgomery, 315 W 6th St, Bridgeport,610-272-2765,Aluminum Cans ,www.jpmascaro.com ,
Aluminum,"Joe Mattero Recycling, Inc.",Montgomery, 316 W 7th St, Lansdale,215-885-4808,Aluminum Cans ,www.joematterorecycling.com,
Aluminum,"John Miller & Son, Inc. Recycling",Montgomery, 147 Oreland Mill Rd, Oreland,215-885-8199,Aluminum Cans ,www.johnmillersoninc.com ,
Aluminum,ReCommunity Montgomeryville,Montgomery, 1050 Bethlehem Pike, Montgomeryville ,215-540-9506,Aluminum Cans ,www.recommunity.com ,
Aluminum,ReCommunity Upper Dublin,Montgomery, 1030 Fitzwatertown Rd, Willow Grove,215-887-9577,Aluminum Cans ,www.recommunity.com ,
Aluminum,Recycling Services Inc.,Montgomery, 365 Elm St, Pottstown,610-323-8545,Aluminum Cans ,WWW.RECYCLINGSERVICES.ORG ,
Aluminum,Red Hill Borough Recycling Center,Montgomery, 56 W Fourth St, Red Hill,215-679-2040,Aluminum Cans ,www.redhillborough.org ,
Aluminum,Ridge Metals Company,Montgomery, 407 Alan Wood Rd, Conshohocken,610-828-5553,Aluminum Cans ,www.ridgemetals.com ,
Aluminum,Russell A. Morello & Sons,Montgomery, 18 Maple St, Conshohocken,610-828-1612,Aluminum Cans ,,
Aluminum,Russell G Tuturice Scrap Metal,Montgomery, 815 Tremont Ave, Norristown,610-277-2892,Aluminum Cans ,,
Aluminum,Sullivan's Scrap Metals,Montgomery, 451 Oakdale Ave, Hatboro,215-442-1504,Aluminum Cans ,www.sullivanscrap.com ,
Antifreeze,HHW Events,Montgomery,"P.O. Box 311
",Norristown,610-278-3618,"FREE residential collection events are held outdoors from 9am-3pm, rain
or shine. Residents may attend any Household Hazardous Waste event
held by Bucks, Chester, Delaware, Montgomery, or Philadelphia Counties",Montgomery CO HHW flyer 2017,
Appliances (with Freon),"A.J. Catagnus, Inc.",Montgomery, 1299 W James St, Norristown,610-277-2727,White Goods,www.ajcatagnus.com ,
Appliances (with Freon),Emert Recycling,Montgomery, 2700 Richmond Rd, Hatfield,215-855-7690,White Goods,www.emertrecycling.com ,
