Item,Location Name,County,Address,City,Phone,Details,Website,,
Air Conditioners,RPM Metals,Northampton, 701 N, Broadway Wind Gap,610-863-1000,White Goods,www.rpmmetals.com ,,
Air Conditioners,"Swint Hauling & Disposal Service, LLC",Northampton, 602 Folk St, Easton,610-253-8535,White Goods,www.swinthauling.com ,,
Aluminum,Chrin Recycling Center,Northampton, Industrial Dr, Easton,610-253-6146,Aluminum Cans ,www.chrin.org ,,
Aluminum,Easton Area Metal Recycling,Northampton, 525 Cedarville Rd, Easton,610-435-3527,Aluminum Cans ,www.eschneiderscrap.com ,,
Aluminum,Easton Iron & Metal Co.,Northampton, 1100 Bushkill Dr, Easton,610-250-6300,Aluminum Cans ,www.eastonironandmetal.com ,,
Aluminum,Einfalt Recycling & Salvage Inc.,Northampton, 221 Bushkill St, Stockertown,610-759-7998,Aluminum Cans ,www.einfaltinc.com ,,
Aluminum,"H. Blinderman & Son, Inc.",Northampton, 1320 Whitaker St, Hellertown,610-838-9221,Aluminum Cans ,http://hblindermanscrap.com ,,
Aluminum,"J.F.R. Salvage, Inc.",Northampton, 6500 Sullivan Trail, Wind Gap,610-863-6071,Aluminum Cans ,www.jfrsalvage.com ,,
Aluminum,"Swint Hauling & Disposal Service, LLC",Northampton, 602 Folk St, Easton,610-253-8535,Aluminum Cans ,www.swinthauling.com ,,
Aluminum,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,Aluminum Cans ,www.wm.com ,,
Ammunition,,Northampton,,,,,,,
Antifreeze,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Antifreeze,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Appliances (with Freon),RPM Metals,Northampton, 701 N, Broadway Wind Gap,610-863-1000,White Goods,www.rpmmetals.com ,,
Appliances (with Freon),"Swint Hauling & Disposal Service, LLC",Northampton, 602 Folk St, Easton,610-253-8535,White Goods,www.swinthauling.com ,,
Appliances (No Freon),RPM Metals,Northampton, 701 N, Broadway Wind Gap,610-863-1000,White Goods,www.rpmmetals.com ,,
Appliances (No Freon),"Swint Hauling & Disposal Service, LLC",Northampton, 602 Folk St, Easton,610-253-8535,White Goods,www.swinthauling.com ,,
Appliances (No Freon),Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,White Goods,www.wm.com ,,
Asbestos,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Asbestos,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
