Item,Location Name,County,Address,City,Phone,Details,Website,Website,,,
Aluminum,Sapa Cressona,Schuylkill, 53 Pottsville St, Cressona,1-800-233-3165,Aluminum Cans ,www.sapagroup.com ,,,,
Aluminum,U.S.S. Achey Inc.,Schuylkill, 355 E 2nd Mt Rd RTE 443, Schuylkill Haven,570-366-0781,Aluminum Cans ,www.ussachey.com ,,,,
Aluminum,Weiner Iron & Metal Corp.,Schuylkill, 1056 RTE 61 Hwy S. ,Pottsville,570-622-6543,Aluminum Cans ,WWW.WEINERMETALS.COM ,,,,
Appliances (No Freon),U.S.S. Achey Inc.,Schuylkill, 355 E 2nd Mt Rd RTE 443, Schuylkill Haven,570-366-0781,White Goods ,www.ussachey.com ,,,,
Appliances (No Freon),Weiner Iron & Metal Corp.,Schuylkill, 1056 RTE 61 Hwy S ,Pottsville,570-622-6543,White Goods ,WWW.WEINERMETALS.COM ,,,,
Batteries (Lead Acid),"Paradigm Solutions, LLC",Schuylkill, 123 Industrial Park Rd, St Clair,570-429-0900,Auto Batteries ,,,,,
Batteries (Lead Acid),U.S.S. Achey Inc.,Schuylkill, 355 E 2nd Mt Rd RTE 443, Schuylkill Haven,570-366-0781,Auto Batteries ,www.ussachey.com ,,,,
Cardboard,Weiner Iron & Metal Corp.,Schuylkill, 1056 RTE 61 Hwy S ,Pottsville,570-622-6543,"Corrugated Containers, Newspapers, Office Papers, Computer Papers",WWW.WEINERMETALS.COM ,,,,
Cartons,Weiner Iron & Metal Corp.,Schuylkill, 1056 RTE 61 Hwy S ,Pottsville,570-622-6543,"Corrugated Containers, Newspapers, Office Papers, Computer Papers",WWW.WEINERMETALS.COM ,,,,
Cell Phones,Vertigo Systems ,Schuylkill,376 Centre Avenue,Schuylkill Haven,570-385-3358,MUST Call for appointment-Accepts All Office & Household Electronics & Computers -ALL TVs including Flat Screen $45 -NO Large Projection TVs/ Wooden Console -CRT Computer Monitors $10 -Printers $10,,,,,
