Item,Location Name,County,Address,City,Phone,Details,Website,,,,
Air Conditioners,Brookman Iron & Metals,Washington, 4 Race St, Washington,724-222-4260,White Goods,www.brookmanironandmetals.com ,,,,
Air Conditioners,"General Alloys, Inc.",Washington, 135 W Wylie Ave, Washington,724-223-1700,White Goods,WWW.GENERALALLOYS.COM ,,,,
Air Conditioners,Monthly Electronics Collection Event @ Washington County Fairgrounds,Washington,Ê 2152 North Main St, Washington,724-228-8811 , Freon Appliances;  $15 a piece for freon removal ,http://www.co.washington.pa.us/DocumentCenter/View/3417,,,,
Aluminum,Brookman Iron & Metals,Washington, 4 Race St, Washington,724-222-4260,Aluminum Cans ,www.brookmanironandmetals.com ,,,,
Aluminum,Canon Mac Metals,Washington, 4 Four Coins Dr, Canonsburg,724-745-6544,Aluminum Cans ,www.canonmacmetals.com ,,,,
Aluminum,"General Alloys, Inc.",Washington, 135 W Wylie Ave, Washington,724-223-1700,Aluminum Cans ,WWW.GENERALALLOYS.COM ,,,,
Aluminum,Monongahela Iron & Metal Co. Inc.,Washington, 613 E Main St, Monongahela,412-258-7400,Aluminum Cans ,,,,,
Aluminum,Riverside Iron and Steel Company,Washington, 770 E Railroad St, Monongahela,724-258-9200,Aluminum Cans ,,,,,
Aluminum,Waste Management,Washington, 16 Washington St, Donora,724-379-9535,Aluminum Cans ,www.wm.com ,,,,
Antifreeze,Wild Things Park,Washington,2151 North Main Street,Washington ,,HHW at Wild Things Park on July 22nd 9am to 1pm,http://prc.org/programs/collection-events/household-chemicals/,,,,
Appliances (with Freon),Brookman Iron & Metals,Washington, 4 Race St, Washington,724-222-4260,White Goods,www.brookmanironandmetals.com ,,,,
Appliances (with Freon),"General Alloys, Inc.",Washington, 135 W Wylie Ave, Washington,724-223-1700,White Goods,WWW.GENERALALLOYS.COM ,,,,
Appliances (with Freon),Monthly Electronics Collection Event @ Washington County Fairgrounds,Washington,Ê 2152 North Main St, Washington,724-228-8811 , Freon Appliances;  $15 a piece for freon removal ,http://www.co.washington.pa.us/DocumentCenter/View/3417,,,,
Appliances (No Freon),Brookman Iron & Metals,Washington, 4 Race St, Washington,724-222-4260,White Goods,www.brookmanironandmetals.com ,,,,
Appliances (No Freon),"General Alloys, Inc.",Washington, 135 W Wylie Ave, Washington,724-223-1700,White Goods,WWW.GENERALALLOYS.COM ,,,,
Asbestos,Wild Things Park,Washington,2151 North Main Street,Washington ,,HHW at Wild Things Park on July 22nd 9am to 1pm,http://prc.org/programs/collection-events/household-chemicals/,,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),Washington City Mission,Washington, 84 W Wheeling St, Washington,724-222-8530,"Newspapers, White Ledger Paper ",www.citymission.org ,,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),Waste Management,Washington, 16 Washington St, Donora,724-379-9535,"Corrugated Containers, Magazines, Other Paper ",www.wm.com ,,,,
Construction/Demolition Materials,"Wood Waste Recycling, Inc.",Washington, 111 Kelso Rd, McDonald,724-695-1000,"Concrete, Asphalt, and Brick ",www.woodwasterecycling.com ,,,,
Automotive Parts & Liquids,Wild Things Park,Washington,2151 North Main Street,Washington ,,HHW at Wild Things Park on July 22nd 9am to 1pm,http://prc.org/programs/collection-events/household-chemicals/,,,,
Batteries (Alkaline/Zinc Carbon),Wild Things Park,Washington,2151 North Main Street,Washington ,,HHW at Wild Things Park on July 22nd 9am to 1pm,,,,,
Batteries (Button Cell),Wild Things Park,Washington,2151 North Main Street,Washington ,,HHW at Wild Things Park on July 22nd 9am to 1pm,,,,,
Batteries (Lead Acid),American Battery Inc.,Washington, 75 1/2 Cumberland Ave, Washington,724-225-9889,Auto Batteries ,,,,,
Batteries (Lead Acid),Brookman Iron & Metals,Washington, 4 Race St, Washington,724-222-4260,Auto Batteries ,www.brookmanironandmetals.com ,,,,
Batteries (Rechargable) ,Wild Things Park,Washington,2151 North Main Street,Washington ,,HHW at Wild Things Park on July 22nd 9am to 1pm,,,,,
Biohazardous Waste,Wild Things Park,Washington,2151 North Main Street,Washington ,,HHW at Wild Things Park on July 22nd 9am to 1pm,http://prc.org/programs/collection-events/household-chemicals/,,,,
Bricks,"Wood Waste Recycling, Inc.",Washington, 111 Kelso Rd, McDonald,724-695-1000,"Concrete, Asphalt, and Brick ",www.woodwasterecycling.com ,,,,
Building Materials,"Wood Waste Recycling, Inc.",Washington, 111 Kelso Rd, McDonald,724-695-1000,"Concrete, Asphalt, and Brick ",www.woodwasterecycling.com ,,,,
Cardboard,Washington City Mission,Washington, 84 W Wheeling St, Washington,724-222-8530,"Newspapers, White Ledger Paper ",www.citymission.org ,,,,
Cardboard,Waste Management,Washington, 16 Washington St, Donora,724-379-9535,"Corrugated Containers, Magazines, Other Paper ",www.wm.com ,,,,
Cartons,Washington City Mission,Washington, 84 W Wheeling St, Washington,724-222-8530,"Newspapers, White Ledger Paper ",www.citymission.org ,,,,
Cartons,Waste Management,Washington, 16 Washington St, Donora,724-379-9535,"Corrugated Containers, Magazines, Other Paper ",www.wm.com ,,,,
Cell Phones,Monthly Electronics Collection Event @ Washington County Fairgrounds,Washington,Ê 2152 North Main St, Washington,724-228-8811 ,"Computer equipment, TVs, Freon Appliances, Fluorescent Tubes & CFLs",http://www.co.washington.pa.us/DocumentCenter/View/3417,,,,
