zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2014
15001,STANDARD,0,Aliquippa,"Macarthur, W Aliquippa, West Aliquippa","Aliq, Mac Arthur",PA,"Beaver County",America/New_York,724,NA,US,40.61,-80.25,29530
15003,STANDARD,0,Ambridge,"Fair Oaks",,PA,"Beaver County",America/New_York,724,NA,US,40.59,-80.22,10010
15004,"PO BOX",0,Atlasburg,,,PA,"Washington County",America/New_York,724,NA,US,40.35,-80.38,355
15005,STANDARD,0,Baden,,,PA,"Beaver County",America/New_York,724,NA,US,40.63,-80.22,9000
15006,"PO BOX",0,Bairdford,,,PA,"Allegheny County",America/New_York,724,NA,US,40.63,-79.88,359
15007,STANDARD,0,Bakerstown,,,PA,"Allegheny County",America/New_York,724,NA,US,40.65,-79.93,330
15009,STANDARD,0,Beaver,"Vanport, W Bridgewater, West Bridgewater",,PA,"Beaver County",America/New_York,"412,724",NA,US,40.69,-80.3,14160
15010,STANDARD,0,"Beaver Falls","Patterson Heights, Patterson Hts, Racine",,PA,"Beaver County",America/New_York,"412,724",NA,US,40.76,-80.32,24680
15012,STANDARD,0,"Belle Vernon","Belle Vrn Br, N Bell Vernon, N Belle Vernon, N Belle Vrn, North Belle Vernon",,PA,"Westmoreland County",America/New_York,724,NA,US,40.12,-79.86,14450
15014,STANDARD,0,Brackenridge,,,PA,"Allegheny County",America/New_York,878,NA,US,40.61,-79.74,2790
15015,STANDARD,0,Bradfordwoods,,,PA,"Allegheny County",America/New_York,"412,724",NA,US,40.63,-80.08,1270
15017,STANDARD,0,Bridgeville,,,PA,"Allegheny County",America/New_York,412,NA,US,40.35,-80.1,14860
15018,STANDARD,0,"Buena Vista",,,PA,"Allegheny County",America/New_York,412,NA,US,40.27,-79.8,820
15019,STANDARD,0,Bulger,,,PA,"Washington County",America/New_York,724,NA,US,40.42,-80.35,1430
15020,"PO BOX",0,Bunola,,,PA,"Allegheny County",America/New_York,412,NA,US,40.23,-79.95,263
15021,STANDARD,0,Burgettstown,"Eldersville, Paris",Burgettstn,PA,"Washington County",America/New_York,724,NA,US,40.38,-80.39,6560
15022,STANDARD,0,Charleroi,"N Charleroi, North Charleroi",,PA,"Washington County",America/New_York,724,NA,US,40.13,-79.9,9010
15024,STANDARD,0,Cheswick,,,PA,"Allegheny County",America/New_York,"412,724",NA,US,40.54,-79.8,8150
15025,STANDARD,0,Clairton,"Floreffe, Jefferson Hills, Jefferson Hls, Large",,PA,"Allegheny County",America/New_York,412,NA,US,40.29,-79.88,14810
15026,STANDARD,0,Clinton,,,PA,"Beaver County",America/New_York,724,NA,US,40.51,-80.34,3460
15027,STANDARD,0,Conway,,,PA,"Beaver County",America/New_York,724,NA,US,40.66,-80.24,2090
15028,"PO BOX",0,Coulters,,,PA,"Allegheny County",America/New_York,878,NA,US,40.31,-79.79,170
15030,STANDARD,0,Creighton,,,PA,"Allegheny County",America/New_York,724,NA,US,40.58,-79.78,910
15031,STANDARD,0,Cuddy,,,PA,"Allegheny County",America/New_York,412,NA,US,40.35,-80.16,530
15032,"PO BOX",0,Curtisville,,,PA,"Allegheny County",America/New_York,724,NA,US,40.64,-79.84,244
15033,STANDARD,0,Donora,,,PA,"Washington County",America/New_York,724,NA,US,40.17,-79.86,3830
15034,STANDARD,0,Dravosburg,,,PA,"Allegheny County",America/New_York,412,NA,US,40.35,-79.89,1490
15035,STANDARD,0,"East Mc Keesport","E Mckeesport","E Mc Keesport, East Mckeesport",PA,"Allegheny County",America/New_York,878,NA,US,40.38,-79.81,1840
15037,STANDARD,0,Elizabeth,,,PA,"Allegheny County",America/New_York,412,NA,US,40.27,-79.88,10100
15038,"PO BOX",0,Elrama,,,PA,"Washington County",America/New_York,724,NA,US,40.25,-79.93,379
15042,STANDARD,0,Freedom,,,PA,"Beaver County",America/New_York,724,NA,US,40.68,-80.25,7860
15043,STANDARD,0,Georgetown,,,PA,"Beaver County",America/New_York,724,NA,US,40.64,-80.49,2070
15044,STANDARD,0,Gibsonia,,,PA,"Allegheny County",America/New_York,724,NA,US,40.63,-79.94,29030
15045,STANDARD,0,Glassport,,,PA,"Allegheny County",America/New_York,878,NA,US,40.32,-79.88,3690
15046,STANDARD,0,Crescent,Glenwillard,,PA,"Allegheny County",America/New_York,"412,724",NA,US,40.55,-80.23,2450
15047,"PO BOX",0,Greenock,,,PA,"Allegheny County",America/New_York,878,NA,US,40.32,-79.81,378
15049,STANDARD,0,Harwick,,,PA,"Allegheny County",America/New_York,724,NA,US,40.56,-79.81,880
15050,STANDARD,0,Hookstown,,,PA,"Beaver County",America/New_York,724,NA,US,40.59,-80.47,2570
15051,STANDARD,0,Indianola,,,PA,"Allegheny County",America/New_York,412,NA,US,40.56,-79.87,350
15052,STANDARD,0,Industry,,,PA,"Beaver County",America/New_York,724,NA,US,40.65,-80.4,3120
15053,STANDARD,0,Joffre,,,PA,"Washington County",America/New_York,724,NA,US,40.38,-80.36,200
15054,"PO BOX",0,Langeloth,,,PA,"Washington County",America/New_York,724,NA,US,40.36,-80.41,589
15055,STANDARD,0,Lawrence,,,PA,"Washington County",America/New_York,724,NA,US,40.31,-80.12,1370
15056,STANDARD,0,Leetsdale,,,PA,"Allegheny County",America/New_York,412,NA,US,40.56,-80.21,1020
